"";"Andre Ramalho";"Guus Til";"Hirving Lozano";"Ismael Saibari";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Olivier Boscagli";"Sergino Dest";"Walter Benitez";"Yorbe Vertessen"
"Andre Ramalho";0;0;0.016;0;0.161;0.113;0.048;0.258;0;0;0.145;0.048;0.21;0
"Guus Til";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Hirving Lozano";0;0;0;0.125;0.25;0.188;0.062;0;0.062;0.125;0;0.188;0;0
"Ismael Saibari";0;0.333;0;0;0;0;0;0.333;0;0;0;0;0;0.333
"Jerdy Schouten";0.217;0;0.022;0;0;0.13;0.087;0.196;0.065;0.022;0.152;0.043;0.065;0
"Joey Veerman";0.106;0;0.17;0;0.021;0;0.064;0.17;0.085;0.106;0.085;0.191;0;0
"Johan Bakayoko";0.267;0;0;0;0.2;0;0;0.2;0.133;0.067;0;0.067;0.067;0
"Jordan Teze";0.466;0;0;0.017;0.207;0.086;0.086;0;0;0.017;0.052;0;0.069;0
"Luuk de Jong";0;0;0.267;0.067;0.067;0.133;0;0;0;0.2;0;0.267;0;0
"Malik Tillman";0;0;0.143;0;0.143;0.214;0.143;0.143;0;0;0.071;0.143;0;0
"Olivier Boscagli";0.167;0;0.028;0;0.111;0.194;0;0.083;0.028;0.028;0;0.278;0.083;0
"Sergino Dest";0.022;0;0.156;0;0.044;0.311;0;0.067;0.067;0.044;0.178;0;0.089;0.022
"Walter Benitez";0.381;0;0;0;0.048;0;0;0;0.048;0.048;0.333;0.143;0;0
"Yorbe Vertessen";0;0;0;0;0;1;0;0;0;0;0;0;0;0
