"";"Alan Varela";"Diogo Costa";"Evanilson";"Francisco Conceicao";"Galeno";"Joao Mario";"Jorge Sanchez";"Nico Gonzalez";"Otavio";"Pepe_14926";"Pepe_66499";"Wendell"
"Alan Varela";0;0.042;0;0;0.083;0.083;0.042;0.125;0.125;0.167;0.167;0.167
"Diogo Costa";0.061;0;0;0;0;0.152;0;0;0.545;0.152;0.03;0.061
"Evanilson";0.062;0;0;0.062;0.125;0.062;0;0.312;0;0.062;0.25;0.062
"Francisco Conceicao";0.222;0;0.222;0;0;0.222;0;0.111;0;0.111;0.111;0
"Galeno";0;0.1;0.1;0;0;0;0;0;0.2;0.1;0;0.5
"Joao Mario";0.105;0;0;0.211;0;0;0;0;0;0.368;0.263;0.053
"Jorge Sanchez";0;0.333;0;0;0;0;0;0;0;0;0.667;0
"Nico Gonzalez";0.048;0;0.143;0.095;0.143;0.048;0;0;0.048;0.143;0.238;0.095
"Otavio";0;0.708;0.083;0;0.042;0;0;0;0;0;0;0.167
"Pepe_14926";0.111;0.667;0;0;0;0.074;0;0.037;0.037;0;0.074;0
"Pepe_66499";0.2;0.05;0.25;0.2;0.05;0.05;0.05;0;0.05;0.05;0;0.05
"Wendell";0.065;0.032;0.065;0;0.226;0;0;0.097;0.419;0.065;0.032;0
