"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Cesar Azpilicueta";"Jan Oblak";"Jose Gimenez";"Koke";"Marcos Llorente";"Mario Hermoso";"Nahuel Molina";"Pablo Barrios ";"Rodrigo de Paul";"Rodrigo Riquelme";"Saul Niguez"
"Alvaro Morata";0;0;0.231;0;0;0;0;0.308;0;0.154;0.231;0;0.077;0;0
"Angel Correa";0;0;0;0;0;0;0;0.111;0.111;0;0;0.222;0.444;0.111;0
"Antoine Griezmann";0.073;0.098;0;0;0.098;0;0;0.195;0.049;0.146;0;0.098;0.22;0.024;0
"Axel Witsel";0;0;0.021;0;0;0.043;0.149;0.17;0.234;0.021;0.277;0.064;0.021;0;0
"Cesar Azpilicueta";0;0;0.364;0;0;0;0.091;0;0;0.273;0.091;0;0.182;0;0
"Jan Oblak";0;0;0;0.385;0;0;0.077;0.231;0.154;0.154;0;0;0;0;0
"Jose Gimenez";0.034;0;0.034;0.241;0;0.069;0;0.034;0.034;0.345;0;0.069;0.034;0.103;0
"Koke";0.062;0.021;0.042;0.104;0.021;0.021;0.083;0;0.167;0.104;0.042;0.125;0.208;0;0
"Marcos Llorente";0.064;0.021;0.064;0.234;0;0.021;0.021;0.106;0;0;0.213;0.043;0.17;0.043;0
"Mario Hermoso";0;0.022;0.239;0.022;0.065;0.043;0.065;0.13;0;0;0;0.152;0.022;0.196;0.043
"Nahuel Molina";0.107;0;0.071;0.214;0;0.036;0.036;0.321;0.179;0;0;0;0.036;0;0
"Pablo Barrios ";0;0.08;0.08;0.08;0;0;0.08;0.16;0.04;0.2;0;0;0;0.28;0
"Rodrigo de Paul";0.094;0.094;0.188;0.125;0;0;0.094;0.125;0.219;0.031;0;0.031;0;0;0
"Rodrigo Riquelme";0;0;0.059;0;0;0;0;0;0.059;0.706;0;0.118;0.059;0;0
"Saul Niguez";0;0;0;0;0;0.5;0;0;0;0;0;0.5;0;0;0
