"";"Ayase Ueda";"Calvin Stengs";"David Hancko";"Igor Paixao";"Javairo Dilrosun";"Justin Bijlow";"Luka Ivanusec";"Lutsharel Geertruida";"Mats Wieffer";"Quilindschy Hartman";"Quinten Timber";"Ramiz Zerrouki";"Santiago Gimenez";"Thomas Beelen";"Van den Belt";"Yankuba Minteh"
"Ayase Ueda";0;0;0;0;0;0;0;0.333;0;0.333;0;0;0.333;0;0;0
"Calvin Stengs";0;0;0.2;0;0;0;0.1;0;0;0.1;0.1;0.4;0;0.1;0;0
"David Hancko";0;0;0;0;0;0.269;0.038;0.038;0.038;0.269;0;0.058;0.038;0.231;0.019;0
"Igor Paixao";0;0.067;0;0;0;0.067;0.133;0.133;0;0;0.2;0.2;0.133;0.067;0;0
"Javairo Dilrosun";0;0;0;0;0;0;0;0.25;0.5;0;0;0;0;0;0.25;0
"Justin Bijlow";0;0;0.395;0;0;0;0;0;0.079;0.053;0;0.237;0;0.237;0;0
"Luka Ivanusec";0;0;0.067;0.133;0;0.067;0;0.067;0;0.333;0.2;0;0.067;0;0;0.067
"Lutsharel Geertruida";0;0.02;0.06;0.12;0.04;0.14;0;0;0.04;0.02;0.04;0.16;0.12;0.24;0;0
"Mats Wieffer";0.043;0;0.13;0;0.087;0.174;0;0.174;0;0.087;0;0.217;0;0.043;0;0.043
"Quilindschy Hartman";0.028;0.083;0.306;0;0;0.056;0.139;0;0.083;0;0.083;0.056;0.056;0;0.083;0.028
"Quinten Timber";0;0.059;0;0.059;0;0;0.118;0.118;0;0.118;0;0.353;0.118;0.059;0;0
"Ramiz Zerrouki";0.019;0.077;0.135;0.077;0;0.058;0.019;0.212;0.096;0.096;0.058;0;0.058;0.096;0;0
"Santiago Gimenez";0.071;0.071;0;0;0;0;0.143;0.214;0.071;0;0;0.071;0;0;0.071;0.286
"Thomas Beelen";0;0;0.159;0.023;0;0.227;0;0.318;0.045;0.023;0.045;0.114;0;0;0.045;0
"Van den Belt";0;0;0.111;0;0;0;0;0.111;0;0.111;0;0.444;0.111;0;0;0.111
"Yankuba Minteh";0.2;0;0;0;0;0;0;0.2;0.4;0.2;0;0;0;0;0;0
