"";"Aissa Laidouni";"Alex Kral";"Brenden Aaronson";"Christopher Trimmel";"Danilho Doekhi";"David Fofana";"Diogo Leite";"Frederik Ronnow";"Janik Haberer";"Kevin Behrens";"Kevin Volland";"Lucas Tousart";"Rani Khedira";"Robin Gosens";"Robin Knoche";"Sheraldo Becker"
"Aissa Laidouni";0;0.5;0;0;0;0;0.25;0;0;0;0;0.25;0;0;0;0
"Alex Kral";0;0;0;0.077;0.077;0;0.154;0;0;0;0;0;0;0.154;0.385;0.154
"Brenden Aaronson";0;0;0;0.429;0.286;0.143;0;0;0;0;0;0;0;0;0;0.143
"Christopher Trimmel";0.138;0;0.034;0;0.241;0.207;0;0;0;0;0;0.034;0;0;0.241;0.103
"Danilho Doekhi";0;0;0.087;0.174;0;0;0.087;0.261;0.087;0.043;0;0;0.043;0;0.174;0.043
"David Fofana";0;0;0;0.625;0;0;0;0;0;0;0;0;0.125;0;0.125;0.125
"Diogo Leite";0;0.081;0;0.027;0;0;0;0.216;0.108;0;0;0.027;0.027;0.189;0.216;0.108
"Frederik Ronnow";0;0;0;0.118;0.235;0;0.353;0;0.059;0;0;0.059;0;0;0.176;0
"Janik Haberer";0;0.062;0.062;0.125;0;0.062;0.125;0;0;0;0;0;0;0.312;0.125;0.125
"Kevin Behrens";0.5;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0.25
"Kevin Volland";0;0;0;0;0;0;0;0;0;0.333;0;0.333;0;0;0;0.333
"Lucas Tousart";0;0.2;0;0.4;0;0;0.2;0;0;0;0;0;0;0;0;0.2
"Rani Khedira";0;0;0;0.4;0.1;0;0.2;0;0.2;0;0;0;0;0;0;0.1
"Robin Gosens";0;0;0;0;0;0.05;0.5;0.05;0.1;0;0;0;0;0;0.1;0.2
"Robin Knoche";0;0.061;0.061;0.03;0.212;0;0.152;0.273;0.03;0.03;0.03;0;0.03;0.03;0;0.061
"Sheraldo Becker";0;0.083;0.167;0.083;0;0.167;0;0;0.083;0;0;0.083;0.167;0.167;0;0
