"";"Bernardo Silva";"Ederson";"Erling Haaland";"Jack Grealish";"Jeremy Doku";"Julian Alvarez";"Kalvin Phillips";"Manuel Akanji";"Mateo Kovacic";"Matheus Nunes";"Nathan Ake";"Rico Lewis";"Rodri";"Ruben Dias";"Sergio Gomez"
"Bernardo Silva";0;0;0;0.062;0;0.25;0;0.062;0.062;0;0;0.375;0.125;0;0.062
"Ederson";0;0;0.059;0;0.029;0;0.029;0.206;0.029;0;0.059;0.088;0.294;0.176;0.029
"Erling Haaland";0.1;0;0;0.2;0.1;0;0;0;0;0.3;0.2;0.1;0;0;0
"Jack Grealish";0.05;0;0;0;0.025;0.025;0;0.05;0.1;0.05;0.175;0.075;0.2;0.2;0.05
"Jeremy Doku";0;0.036;0;0.036;0;0;0;0.214;0.107;0.107;0.143;0.214;0.107;0.036;0
"Julian Alvarez";0.294;0;0;0.059;0;0;0;0.059;0.059;0;0.118;0.176;0.118;0;0.118
"Kalvin Phillips";0.111;0.111;0;0.111;0;0;0;0.111;0.111;0;0.222;0;0;0.111;0.111
"Manuel Akanji";0.029;0.103;0.044;0.029;0.074;0.015;0;0;0.015;0.118;0.015;0.132;0.191;0.206;0.029
"Mateo Kovacic";0;0.022;0.022;0.133;0;0;0.067;0;0;0.022;0.333;0.022;0.222;0.156;0
"Matheus Nunes";0;0;0.062;0.156;0.156;0;0;0.125;0;0;0.031;0.344;0.062;0.062;0
"Nathan Ake";0;0.108;0.012;0.145;0.024;0.024;0.024;0.012;0.181;0.024;0;0.024;0.181;0.241;0
"Rico Lewis";0.026;0.026;0.026;0.013;0.13;0.091;0;0.091;0.013;0.117;0.039;0;0.273;0.156;0
"Rodri";0.01;0.01;0.02;0.051;0.071;0.04;0;0.141;0.081;0.121;0.192;0.141;0;0.121;0
"Ruben Dias";0.012;0.128;0.012;0.023;0;0.012;0.023;0.128;0.093;0.023;0.244;0.093;0.198;0;0.012
"Sergio Gomez";0.125;0;0;0;0;0;0;0.375;0.125;0;0;0.25;0;0.125;0
