"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Cesar Azpilicueta";"Jan Oblak";"Javi Galan";"Koke";"Marcos Llorente";"Mario Hermoso";"Nahuel Molina";"Rodrigo de Paul";"Rodrigo Riquelme";"Samuel Lino";"Saul Niguez"
"Alvaro Morata";0;0;0.083;0.167;0.083;0;0.083;0.083;0;0;0.083;0.083;0;0.083;0.25
"Angel Correa";0;0;0;0;0;0;0;0.75;0;0;0;0;0;0;0.25
"Antoine Griezmann";0;0;0;0.062;0.125;0;0;0.375;0;0.062;0.125;0.062;0;0.125;0.062
"Axel Witsel";0;0;0.06;0;0.239;0.06;0.045;0.09;0.015;0.299;0.015;0.134;0;0.015;0.03
"Cesar Azpilicueta";0;0;0.056;0.333;0;0.019;0;0.185;0.037;0.019;0.204;0.074;0;0;0.074
"Jan Oblak";0;0;0;0.545;0.091;0;0;0;0;0.273;0.091;0;0;0;0
"Javi Galan";0.125;0;0.125;0.25;0;0;0;0;0;0.375;0;0;0.125;0;0
"Koke";0.105;0.018;0.088;0.123;0.158;0;0.035;0;0.018;0.158;0.158;0.035;0;0.07;0.035
"Marcos Llorente";0;0.125;0;0;0.125;0;0;0.125;0;0.125;0.375;0;0;0;0.125
"Mario Hermoso";0.017;0;0;0.339;0.034;0.034;0.017;0.22;0;0;0;0.017;0;0.22;0.102
"Nahuel Molina";0.032;0;0.129;0;0.355;0.032;0;0.258;0.065;0.032;0;0.065;0;0;0.032
"Rodrigo de Paul";0.062;0;0.062;0.062;0.375;0;0;0.062;0;0.062;0.312;0;0;0;0
"Rodrigo Riquelme";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Samuel Lino";0;0;0.069;0.138;0;0;0;0.172;0;0.448;0.069;0.034;0;0;0.069
"Saul Niguez";0.087;0.087;0;0;0;0.043;0.087;0.087;0;0.391;0;0;0;0.217;0
