"";"Alex Meret";"Amir Rrahmani";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Hamed Junior Traore";"Jesper Lindstrom";"Juan Jesus";"Khvicha Kvaratskhelia";"Mario Rui";"Mathias Olivera";"Matteo Politano";"Stanislav Lobotka";"Victor Osimhen";"Zambo Anguissa"
"Alex Meret";0;0.429;0.036;0.143;0;0.036;0.321;0;0;0;0;0.036;0;0
"Amir Rrahmani";0.196;0;0.018;0.196;0.036;0.036;0.196;0;0;0;0.036;0.107;0;0.179
"Giacomo Raspadori";0;0.167;0;0.167;0;0;0;0;0;0.333;0;0;0;0.333
"Giovanni Di Lorenzo";0.021;0.167;0;0;0.083;0.125;0;0.021;0;0;0.229;0.083;0.021;0.25
"Hamed Junior Traore";0;0.04;0;0;0;0;0.04;0.16;0.16;0.04;0.32;0.04;0.08;0.12
"Jesper Lindstrom";0;0.167;0;0.5;0;0;0;0;0;0;0;0.167;0;0.167
"Juan Jesus";0.205;0.282;0;0;0.103;0;0;0.051;0.154;0.051;0;0.103;0.026;0.026
"Khvicha Kvaratskhelia";0;0;0.038;0.038;0.077;0.038;0.192;0;0.308;0.077;0.077;0.038;0;0.115
"Mario Rui";0.038;0.115;0;0;0.192;0;0.231;0.346;0;0;0;0;0.038;0.038
"Mathias Olivera";0;0;0.2;0;0;0;0.1;0.5;0;0;0;0;0;0.2
"Matteo Politano";0;0.048;0;0.381;0.048;0;0;0.095;0;0;0;0.095;0.143;0.19
"Stanislav Lobotka";0.028;0.25;0.028;0.111;0.111;0;0.083;0.028;0.139;0.028;0.083;0;0.028;0.083
"Victor Osimhen";0;0;0.1;0;0.1;0;0;0.2;0;0;0.3;0.1;0;0.2
"Zambo Anguissa";0.022;0.174;0.022;0.152;0.065;0.065;0.043;0.022;0.022;0.043;0.152;0.174;0.043;0
