"";"Alexander Isak";"Anthony Gordon";"Bruno Guimaraes";"Dan Burn";"Elliot Anderson";"Fabian Schar";"Jacob Murphy";"Jamaal Lascelles";"Kieran Trippier";"Miguel Almiron";"Nick Pope";"Sandro Tonali";"Sean Longstaff"
"Alexander Isak";0;0.5;0.125;0;0;0;0;0;0;0;0;0.125;0.25
"Anthony Gordon";0.091;0;0.182;0.182;0.091;0.182;0;0;0;0;0;0.091;0.182
"Bruno Guimaraes";0.348;0.043;0;0.043;0.043;0.13;0;0.043;0.087;0;0;0.13;0.13
"Dan Burn";0.05;0.2;0.2;0;0.05;0;0;0;0;0;0;0.35;0.15
"Elliot Anderson";0;0.25;0.25;0;0;0;0;0;0;0;0;0;0.5
"Fabian Schar";0;0;0.222;0.167;0.056;0;0.056;0.056;0.111;0.111;0.111;0.056;0.056
"Jacob Murphy";0;0;0;0;0;0.5;0;0;0.5;0;0;0;0
"Jamaal Lascelles";0;0;0.2;0;0;0.2;0;0;0.2;0;0.2;0;0.2
"Kieran Trippier";0;0;0.118;0;0;0.059;0.059;0.059;0;0.235;0;0;0.471
"Miguel Almiron";0.125;0;0;0;0;0;0;0;0.625;0;0;0;0.25
"Nick Pope";0;0;0;0;0;0.333;0;0;0.667;0;0;0;0
"Sandro Tonali";0.1;0.2;0.3;0.2;0;0.1;0;0;0;0.1;0;0;0
"Sean Longstaff";0.077;0.077;0.192;0.077;0.038;0.154;0.038;0;0.115;0.192;0;0.038;0
