"";"Andreas Christensen";"Fermin Lopez";"Ferran Torres";"Frenkie de Jong";"Ilkay Gundogan";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Pau Cubarsi";"Pedri";"Raphinha";"Robert Lewandowski";"Ronald Araujo";"Sergi Roberto"
"Andreas Christensen";0;0;0;0;0.333;0;0;0.333;0;0;0;0;0;0.333;0;0
"Fermin Lopez";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Ferran Torres";0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.5;0;0
"Frenkie de Jong";0;0;0;0;0.074;0.185;0.037;0.037;0;0;0.148;0.037;0.148;0.185;0.074;0.074
"Ilkay Gundogan";0;0;0;0.045;0;0.045;0.045;0.136;0.182;0;0.091;0;0.091;0.273;0.045;0.045
"Joao Cancelo";0;0;0;0.184;0.026;0;0.158;0.026;0;0.026;0.237;0.079;0.079;0.079;0;0.105
"Joao Felix";0;0;0.1;0;0;0.3;0;0;0;0;0.5;0.1;0;0;0;0
"Jules Kounde";0;0.032;0.065;0.097;0.129;0;0;0;0.161;0.065;0.032;0.065;0.065;0.097;0.129;0.065
"Lamine Yamal";0;0;0;0;0.154;0;0;0.462;0;0;0;0;0.077;0.077;0.077;0.154
"Marc-Andre ter Stegen";0;0;0;0.062;0;0.125;0;0.25;0.062;0;0.25;0;0;0;0.125;0.125
"Pau Cubarsi";0.027;0;0;0.027;0.054;0.216;0.054;0.027;0;0.351;0;0.027;0.054;0.054;0.054;0.054
"Pedri";0;0;0;0.1;0;0.1;0.3;0.1;0;0;0.2;0;0;0.2;0;0
"Raphinha";0;0;0;0.154;0;0.308;0;0.077;0;0;0.154;0.077;0;0.154;0.077;0
"Robert Lewandowski";0;0;0.038;0;0.077;0.192;0.077;0.077;0.231;0;0;0.038;0.115;0;0.115;0.038
"Ronald Araujo";0;0;0;0.167;0.056;0.056;0;0.111;0;0.444;0.111;0.056;0;0;0;0
"Sergi Roberto";0;0;0;0.062;0;0.125;0;0.062;0.188;0.188;0.188;0;0.062;0.062;0.062;0
