"";"Felix Nmecha";"Gregor Kobel";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Niklas Sule";"Salih Ozcan"
"Felix Nmecha";0;0;0.19;0.095;0.238;0.048;0;0.095;0;0.095;0.095;0.143
"Gregor Kobel";0;0;0;0.04;0;0;0;0.44;0;0.4;0.12;0
"Julian Brandt";0.107;0.071;0;0.179;0.036;0.107;0.071;0.036;0.143;0.143;0.071;0.036
"Julian Ryerson";0.1;0.067;0.3;0;0.1;0.133;0;0.033;0.033;0.2;0;0.033
"Karim Adeyemi";0.167;0;0.25;0.167;0;0.25;0;0;0;0;0.083;0.083
"Marcel Sabitzer";0.13;0;0.174;0.13;0.174;0;0;0.13;0;0.261;0;0
"Marco Reus";0;0;0;0;0;0;0;0.2;0;0.2;0.4;0.2
"Mats Hummels";0.091;0.045;0.023;0.023;0.068;0.136;0;0;0;0.25;0.273;0.091
"Niclas Fullkrug";0.2;0;0.3;0.2;0.1;0;0;0;0;0;0;0.2
"Nico Schlotterbeck";0;0.244;0.073;0.195;0;0.049;0;0.366;0;0;0;0.073
"Niklas Sule";0.118;0.088;0.088;0.029;0.088;0.059;0.088;0.118;0.088;0.029;0;0.206
"Salih Ozcan";0.074;0.037;0.074;0.148;0.074;0.111;0;0.185;0.111;0.111;0.074;0
