"";"Alessandro Bastoni";"Benjamin Pavard";"Davide Frattesi";"Denzel Dumfries";"Federico Dimarco";"Francesco Acerbi";"Hakan Calhanoglu";"Henrikh Mkhitaryan";"Lautaro Martinez";"Marcus Thuram";"Matteo Darmian";"Nicolo Barella";"Stefan de Vrij";"Yann Sommer"
"Alessandro Bastoni";0;0.033;0;0;0.18;0;0.197;0.066;0;0.049;0;0.148;0.18;0.148
"Benjamin Pavard";0.024;0;0;0.244;0;0.024;0.171;0.024;0;0;0.024;0.195;0.195;0.098
"Davide Frattesi";0;0;0;0;0;0.5;0.5;0;0;0;0;0;0;0
"Denzel Dumfries";0;0.4;0;0;0;0;0.067;0;0.133;0;0;0.2;0.067;0.133
"Federico Dimarco";0.214;0;0;0;0;0.036;0.25;0.143;0.036;0;0.036;0.107;0.071;0.107
"Francesco Acerbi";0;0;0;0;0.25;0;0;0;0;0.125;0.25;0.125;0;0.25
"Hakan Calhanoglu";0.16;0.037;0.012;0.049;0.049;0.012;0;0.173;0.037;0.037;0.025;0.136;0.222;0.049
"Henrikh Mkhitaryan";0.163;0.047;0;0;0.093;0;0.209;0;0.023;0.023;0;0.209;0.14;0.093
"Lautaro Martinez";0;0;0.059;0;0.059;0;0.059;0.235;0;0.353;0;0.235;0;0
"Marcus Thuram";0;0;0;0;0;0.083;0.417;0.083;0.083;0;0;0.333;0;0
"Matteo Darmian";0;0.286;0;0;0;0.286;0;0;0.286;0;0;0.143;0;0
"Nicolo Barella";0.121;0.052;0;0;0.103;0.017;0.241;0.086;0.086;0.052;0;0;0.207;0.034
"Stefan de Vrij";0.194;0.209;0;0.015;0;0;0.254;0.075;0.015;0.06;0;0.075;0;0.104
"Yann Sommer";0.175;0.15;0;0;0.075;0.025;0.1;0.125;0.025;0;0;0.125;0.2;0
