"";"Danylo Sikan";"Dmytro Kryskiv";"Dmytro Riznyk";"Georgiy Sudakov";"Irakli Azarovi";"Mykola Matvienko";"Oleksandr Zubkov";"Taras Stepanenko";"Yaroslav Rakitskyi";"Yegor Nazaryna";"Yukhym Konoplya"
"Danylo Sikan";0;0.143;0;0;0;0;0.214;0.143;0.143;0.214;0.143
"Dmytro Kryskiv";0;0;0;0;0.231;0.077;0.077;0.231;0.077;0.077;0.231
"Dmytro Riznyk";0;0;0;0;0;0.333;0;0;0.6;0;0.067
"Georgiy Sudakov";0.1;0.2;0;0;0.2;0.1;0.05;0.05;0.05;0.1;0.15
"Irakli Azarovi";0.077;0.077;0.026;0.154;0;0.333;0.026;0.205;0.026;0.077;0
"Mykola Matvienko";0;0.056;0.111;0.056;0.148;0;0;0.074;0.333;0.167;0.056
"Oleksandr Zubkov";0.067;0;0;0.2;0;0;0;0.067;0;0.2;0.467
"Taras Stepanenko";0.111;0.037;0;0.037;0.185;0.074;0.037;0;0.259;0.185;0.074
"Yaroslav Rakitskyi";0.041;0.02;0.02;0.061;0.041;0.306;0.061;0.102;0;0.163;0.184
"Yegor Nazaryna";0.026;0;0.026;0.077;0.179;0.179;0.103;0.179;0.103;0;0.128
"Yukhym Konoplya";0.132;0.053;0.053;0.132;0;0.105;0.158;0.053;0.184;0.132;0
