"";"Alexander Isak";"Anthony Gordon";"Bruno Guimaraes";"Fabian Schar";"Jamaal Lascelles";"Joelinton";"Kieran Trippier";"Lewis Miley";"Miguel Almiron";"Nick Pope";"Tino Livramento"
"Alexander Isak";0;0.083;0;0.083;0;0.083;0.083;0.25;0.167;0;0.25
"Anthony Gordon";0.154;0;0.154;0.077;0;0.154;0;0.077;0;0;0.385
"Bruno Guimaraes";0.038;0.192;0;0.038;0.038;0.115;0.269;0.192;0;0;0.115
"Fabian Schar";0;0;0.15;0;0.05;0.25;0.15;0;0;0.1;0.3
"Jamaal Lascelles";0;0;0.071;0.357;0;0.071;0.357;0;0;0.143;0
"Joelinton";0.16;0.12;0.24;0.12;0.04;0;0;0.04;0.04;0.04;0.2
"Kieran Trippier";0.026;0;0.231;0.051;0.128;0.103;0;0.154;0.256;0.051;0
"Lewis Miley";0.176;0.059;0;0;0.059;0.176;0.118;0;0.412;0;0
"Miguel Almiron";0;0;0.118;0.059;0;0.059;0.353;0.294;0;0.059;0.059
"Nick Pope";0;0;0;0.5;0.167;0;0.333;0;0;0;0
"Tino Livramento";0.071;0.357;0.143;0.107;0;0.214;0.036;0;0.036;0.036;0
