"";"Aleksandar Dragovic";"Cherif Ndiaye";"Guelor Kanga";"In-beom Hwang";"Jean-Philippe Krasso";"Jovan Mijatovic";"Kosta Nedeljkovic";"Marko Stamenic";"Milan Rodic";"Mirko Ivanic";"Nasser Djiga";"Omri Glazer";"Osman Bukari";"Srdjan Mijailovic";"Vladimir Lucic"
"Aleksandar Dragovic";0;0;0;0.116;0;0;0.047;0;0.233;0.023;0.186;0.186;0;0.07;0.14
"Cherif Ndiaye";0;0;0;0.2;0;0;0;0;0.2;0.4;0;0;0.2;0;0
"Guelor Kanga";0.333;0;0;0;0;0;0;0;0.333;0;0;0.333;0;0;0
"In-beom Hwang";0.143;0.036;0;0;0.036;0.036;0.107;0.071;0.107;0.107;0;0;0.179;0.107;0.071
"Jean-Philippe Krasso";0;0;0;0;0;0.333;0;0;0;0;0;0;0;0;0.667
"Jovan Mijatovic";0;0;0;0.4;0;0;0;0;0.2;0;0;0;0.2;0;0.2
"Kosta Nedeljkovic";0.069;0;0.034;0.172;0.069;0.034;0;0.207;0;0.034;0.241;0;0.069;0.069;0
"Marko Stamenic";0;0.059;0;0.118;0;0;0.353;0;0.059;0.118;0.176;0;0;0.118;0
"Milan Rodic";0.067;0.1;0.033;0.3;0;0;0;0;0;0.1;0;0;0.133;0.033;0.233
"Mirko Ivanic";0.143;0.143;0;0.214;0;0;0;0.071;0.071;0;0;0;0.214;0.143;0
"Nasser Djiga";0.258;0;0;0.032;0.032;0.032;0.323;0.032;0;0;0;0.226;0.032;0.032;0
"Omri Glazer";0.458;0;0;0.083;0;0;0.083;0;0.042;0;0.208;0;0;0.042;0.083
"Osman Bukari";0;0;0;0.231;0.154;0.077;0.308;0;0.077;0;0;0;0;0.077;0.077
"Srdjan Mijailovic";0.235;0.059;0;0.176;0;0;0.059;0.118;0;0.118;0.118;0;0.118;0;0
"Vladimir Lucic";0.1;0;0.05;0.15;0.1;0.1;0;0;0.3;0;0.05;0.05;0.1;0;0
