"";"Alhassan Yusuf";"Arthur Vermeeren";"Chidera Ejuke";"George Ilenikhena";"Gyrano Kerk";"Jean Butez";"Jelle Bataille";"Mandela Keita";"Owen Wijndal";"Ritchie De Laet";"Soumaila Coulibaly";"Toby Alderweireld";"Vincent Janssen"
"Alhassan Yusuf";0;0.038;0.308;0.038;0.038;0;0.038;0.115;0.077;0.077;0;0.077;0.192
"Arthur Vermeeren";0.188;0;0.125;0;0.25;0;0;0;0;0.25;0;0;0.188
"Chidera Ejuke";0.312;0.062;0;0;0.031;0;0;0.094;0.281;0;0.156;0.031;0.031
"George Ilenikhena";0.333;0;0;0;0;0;0;0;0;0;0.667;0;0
"Gyrano Kerk";0.167;0.167;0;0;0;0;0;0.083;0;0.5;0;0;0.083
"Jean Butez";0;0;0;0;0;0;0;0;0.111;0.111;0.556;0.222;0
"Jelle Bataille";0;0;0;0.25;0;0;0;0.25;0.25;0;0.25;0;0
"Mandela Keita";0.158;0.105;0.158;0;0;0;0;0;0.105;0.211;0.211;0;0.053
"Owen Wijndal";0.083;0;0.375;0;0;0.042;0;0.083;0;0;0.208;0;0.208
"Ritchie De Laet";0.105;0.158;0;0.053;0.263;0.053;0;0.053;0;0;0;0.158;0.158
"Soumaila Coulibaly";0;0;0.2;0;0;0.4;0.04;0.04;0.12;0;0;0.2;0
"Toby Alderweireld";0.143;0;0;0;0;0.429;0;0;0;0.143;0.143;0;0.143
"Vincent Janssen";0.294;0.235;0.118;0;0;0;0.118;0.118;0.118;0;0;0;0
