"";"Benjamin Henrichs";"Benjamin Sesko";"Castello Lukeba";"Christopher Lenz";"Emil Forsberg";"Fabio Carvalho";"Kevin Kampl";"Lukas Klostermann";"Mohamed Simakan";"Nicolas Seiwald";"Peter Gulacsi";"Timo Werner";"Xaver Schlager";"Xavi Simons";"Yussuf Poulsen"
"Benjamin Henrichs";0;0.119;0;0;0.024;0.095;0.119;0.119;0.238;0.119;0.024;0.024;0;0.024;0.095
"Benjamin Sesko";0;0;0.111;0.111;0.222;0.333;0;0;0.111;0.111;0;0;0;0;0
"Castello Lukeba";0;0.037;0;0.222;0.056;0.037;0.278;0.019;0.074;0.074;0.167;0;0;0;0.037
"Christopher Lenz";0;0.15;0.175;0;0.1;0.075;0.2;0;0.05;0.025;0.075;0;0;0.025;0.125
"Emil Forsberg";0.053;0.053;0.105;0.211;0;0.053;0.263;0;0;0.053;0;0;0;0;0.211
"Fabio Carvalho";0.167;0.042;0;0.208;0.042;0;0.208;0;0.042;0.208;0;0;0;0.042;0.042
"Kevin Kampl";0.048;0.032;0.274;0.048;0.097;0.097;0;0.097;0.129;0.048;0.032;0.016;0.016;0.032;0.032
"Lukas Klostermann";0.32;0;0.04;0.04;0.04;0.04;0.04;0;0;0.04;0.28;0.04;0.04;0.04;0.04
"Mohamed Simakan";0.385;0.051;0.205;0;0;0.077;0.051;0;0;0.026;0.128;0;0;0;0.077
"Nicolas Seiwald";0.208;0.042;0.125;0;0.125;0.083;0.125;0.042;0.167;0;0;0.083;0;0;0
"Peter Gulacsi";0.086;0;0.343;0.086;0;0;0.057;0.114;0.143;0.086;0;0;0.086;0;0
"Timo Werner";0.333;0;0;0.333;0;0;0;0;0;0.333;0;0;0;0;0
"Xaver Schlager";0;0;0;0.2;0;0;0.2;0;0;0;0.6;0;0;0;0
"Xavi Simons";0.167;0;0;0;0;0.5;0.167;0;0;0.167;0;0;0;0;0
"Yussuf Poulsen";0.333;0.067;0.067;0.067;0.067;0.333;0;0.067;0;0;0;0;0;0;0
