"";"Aleksandar Dragovic";"Aleksandar Katai";"Cherif Ndiaye";"In-beom Hwang";"Jean-Philippe Krasso";"Marko Stamenic";"Milan Rodic";"Mirko Ivanic";"Nasser Djiga";"Omri Glazer";"Osman Bukari";"Peter Olayinka";"Srdjan Mijailovic";"Stefan Mitrovic";"Vladimir Lucic"
"Aleksandar Dragovic";0;0.048;0;0.095;0;0.048;0.19;0.095;0.238;0.19;0;0;0.095;0;0
"Aleksandar Katai";0.125;0;0;0.25;0;0;0;0;0;0;0;0;0.125;0;0.5
"Cherif Ndiaye";0.091;0;0;0.273;0;0;0;0.273;0;0;0.182;0;0;0.091;0.091
"In-beom Hwang";0.04;0;0.24;0;0;0;0.04;0.12;0.04;0;0.12;0;0.28;0.04;0.08
"Jean-Philippe Krasso";0;0;0;0.333;0;0;0;0;0;0;0.667;0;0;0;0
"Marko Stamenic";0.143;0;0;0.143;0;0;0;0.143;0.143;0;0;0;0;0.429;0
"Milan Rodic";0.143;0;0.071;0.071;0;0;0;0.143;0.071;0;0;0;0.071;0.429;0
"Mirko Ivanic";0.071;0;0.071;0.143;0;0;0.143;0;0.143;0;0.214;0;0;0.143;0.071
"Nasser Djiga";0.192;0.038;0;0.077;0;0.077;0.038;0.231;0;0.115;0.077;0;0.154;0;0
"Omri Glazer";0.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0
"Osman Bukari";0;0;0.143;0.214;0.071;0;0;0.143;0.071;0;0;0.071;0.143;0;0.143
"Peter Olayinka";0;0.4;0.2;0;0;0;0;0;0;0;0.2;0;0.2;0;0
"Srdjan Mijailovic";0.05;0.1;0.05;0.15;0.1;0.05;0;0.1;0.05;0.05;0.25;0;0;0;0.05
"Stefan Mitrovic";0.1;0;0;0;0;0.2;0.3;0.1;0.2;0.1;0;0;0;0;0
"Vladimir Lucic";0.143;0.286;0;0.286;0;0;0;0;0;0;0;0.143;0.143;0;0
