"";"Alessandro Bastoni";"Alexis Sanchez";"Carlos Augusto";"Davide Frattesi";"Federico Dimarco";"Francesco Acerbi";"Hakan Calhanoglu";"Henrikh Mkhitaryan";"Juan Cuadrado";"Kristjan Asllani";"Lautaro Martinez";"Marcus Thuram";"Marko Arnautovic";"Matteo Darmian";"Nicolo Barella";"Yann Sommer"
"Alessandro Bastoni";0;0;0.167;0;0;0;0.083;0;0;0.083;0;0;0;0.25;0.167;0.25
"Alexis Sanchez";0;0;0;0;0.25;0;0.25;0.5;0;0;0;0;0;0;0;0
"Carlos Augusto";0.065;0;0;0;0.161;0.226;0.129;0;0;0;0;0.032;0;0.065;0;0.323
"Davide Frattesi";0;0.091;0.182;0;0;0;0.182;0.091;0.091;0;0;0.182;0;0.182;0;0
"Federico Dimarco";0;0.143;0.286;0;0;0.071;0.071;0.143;0.071;0;0;0.071;0.071;0.071;0;0
"Francesco Acerbi";0.06;0;0.14;0.04;0.06;0;0.04;0.02;0.02;0.04;0;0.02;0.02;0.22;0.04;0.28
"Hakan Calhanoglu";0.037;0;0.148;0.074;0.037;0.148;0;0.037;0.148;0;0;0.037;0;0.185;0.074;0.074
"Henrikh Mkhitaryan";0;0;0.1;0.1;0.4;0;0.2;0;0.2;0;0;0;0;0;0;0
"Juan Cuadrado";0;0;0;0.038;0.038;0.077;0.231;0.038;0;0;0.038;0.077;0.077;0.385;0;0
"Kristjan Asllani";0.125;0;0;0;0;0;0;0;0;0;0.125;0;0;0.25;0.5;0
"Lautaro Martinez";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Marcus Thuram";0;0.222;0.111;0.222;0;0;0.111;0.111;0.222;0;0;0;0;0;0;0
"Marko Arnautovic";0;0;0;0;0;0;0.333;0;0.333;0;0;0;0;0.333;0;0
"Matteo Darmian";0.042;0;0.042;0.021;0;0.208;0.104;0;0.25;0.042;0.042;0;0;0;0.042;0.208
"Nicolo Barella";0.143;0;0;0;0.071;0.357;0;0;0.071;0.214;0;0;0.071;0;0;0.071
"Yann Sommer";0.026;0;0.158;0.053;0;0.316;0.132;0;0.053;0.026;0.026;0;0;0.211;0;0
