"";"Achraf Hakimi";"Beraldo";"Bradley Barcola";"Danilo Pereira";"Fabian Ruiz";"Gianluigi Donnarumma";"Kylian Mbappe";"Lucas Hernandez";"Marco Asensio";"Marquinhos";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0.014;0;0.056;0.153;0.014;0.014;0;0.056;0.139;0.25;0;0.125;0.181
"Beraldo";0.016;0;0.143;0.19;0.095;0.048;0.048;0.111;0.016;0.127;0;0;0.206;0
"Bradley Barcola";0.083;0.083;0;0.083;0.25;0.083;0.083;0;0;0;0;0;0.333;0
"Danilo Pereira";0.098;0.294;0;0;0.078;0.157;0;0;0;0.255;0.02;0;0.078;0.02
"Fabian Ruiz";0.14;0.211;0.018;0.14;0;0.035;0.123;0.035;0.018;0.053;0.07;0;0.105;0.053
"Gianluigi Donnarumma";0.167;0.208;0;0.208;0;0;0;0;0;0.292;0;0;0.083;0.042
"Kylian Mbappe";0.067;0.067;0.133;0;0.267;0;0;0;0.067;0;0.133;0;0.2;0.067
"Lucas Hernandez";0;0.316;0;0;0.211;0.053;0;0;0;0.053;0.211;0.053;0.105;0
"Marco Asensio";0.375;0.125;0;0;0;0;0.125;0;0;0.25;0;0;0.125;0
"Marquinhos";0.322;0.102;0;0.136;0.102;0.169;0.017;0.017;0.017;0;0.034;0;0.034;0.051
"Ousmane Dembele";0.286;0.095;0;0;0.143;0;0.238;0;0;0;0;0;0.19;0.048
"Randal Kolo Muani";0;0;0;0;0.333;0;0;0;0;0;0;0;0.333;0.333
"Vitinha Ferreira";0.173;0.173;0.115;0.038;0.115;0.038;0.077;0.077;0.019;0.058;0.019;0.019;0;0.077
"Warren Zaire-Emery";0.323;0.065;0;0.129;0.129;0;0.032;0;0;0.129;0.129;0.032;0.032;0
