"";"Alphonso Davies";"Dayot Upamecano";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Mathys Tel";"Noussair Mazraoui";"Sven Ulreich";"Thomas Muller"
"Alphonso Davies";0;0.131;0;0.098;0.131;0.328;0.197;0.016;0;0.098;0;0;0;0
"Dayot Upamecano";0.038;0;0;0;0.086;0.286;0.029;0.038;0;0.095;0;0.286;0.143;0
"Harry Kane";0;0;0;0;0;0;0.167;0.167;0;0.167;0;0;0;0.5
"Jamal Musiala";0.083;0.083;0;0;0;0.083;0.333;0.167;0;0.167;0;0.083;0;0
"Joshua Kimmich";0.24;0.24;0;0.04;0;0.12;0.06;0.06;0;0.04;0;0.16;0.04;0
"Kim Min-jae";0.307;0.333;0.013;0;0.16;0;0.053;0.013;0.013;0;0.027;0.027;0.053;0
"Kingsley Coman";0.207;0.069;0.069;0.207;0.103;0.034;0;0;0.069;0.034;0.034;0.103;0.069;0
"Konrad Laimer";0;0.059;0;0.118;0.059;0;0;0;0;0.529;0;0.235;0;0
"Leon Goretzka";0;0;0.6;0;0.4;0;0;0;0;0;0;0;0;0
"Leroy Sane";0.077;0.179;0.051;0;0.077;0.051;0.051;0.103;0;0;0;0.385;0.026;0
"Mathys Tel";0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5
"Noussair Mazraoui";0;0.459;0.014;0.014;0.014;0;0.095;0.095;0;0.284;0;0;0.027;0
"Sven Ulreich";0;0.3;0;0;0.2;0.45;0;0;0;0.05;0;0;0;0
"Thomas Muller";0;0;0;0;0;0;0.5;0;0;0;0.5;0;0;0
