"";"Adrien Thomasson";"Angelo Fulgini";"Brice Samba";"Deiver Machado";"Elye Wahi";"Facundo Medina";"Florian Sotoca";"Jonathan Gradit";"Kevin Danso";"Massadio Haidara";"Morgan Guilavogui";"Nampalys Mendy";"Przemyslaw Frankowski";"Salis Samed";"Wesley Said"
"Adrien Thomasson";0;0;0;0.143;0.048;0.143;0.095;0;0.143;0;0;0.143;0.238;0.048;0
"Angelo Fulgini";0;0;0;0;0;0.25;0.25;0;0;0;0;0;0;0.25;0.25
"Brice Samba";0;0;0;0.182;0;0.409;0.045;0.136;0.045;0.045;0;0.091;0;0.045;0
"Deiver Machado";0.167;0;0.1;0;0.033;0.233;0.167;0;0.033;0;0;0.133;0;0.133;0
"Elye Wahi";0.091;0;0;0.091;0;0;0;0;0.091;0;0;0.182;0.364;0.182;0
"Facundo Medina";0.064;0.043;0.128;0.085;0.043;0;0.064;0.064;0.085;0.085;0;0.085;0.021;0.234;0
"Florian Sotoca";0.04;0.12;0;0.08;0.04;0;0;0.2;0.08;0;0.04;0;0.32;0.08;0
"Jonathan Gradit";0;0;0.269;0;0;0.077;0.115;0;0.038;0;0.038;0.077;0.269;0.115;0
"Kevin Danso";0.077;0.038;0.115;0.038;0.038;0.192;0.192;0.077;0;0;0;0.115;0.038;0.038;0.038
"Massadio Haidara";0;0;0;0;0;0.25;0;0;0;0;0;0;0;0.25;0.5
"Morgan Guilavogui";0;0;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0
"Nampalys Mendy";0.167;0;0;0.208;0.083;0.292;0;0;0;0;0;0;0.167;0.083;0
"Przemyslaw Frankowski";0.294;0;0;0.029;0.059;0;0.265;0.118;0.059;0;0;0.029;0;0.147;0
"Salis Samed";0.029;0;0.114;0.171;0;0.171;0.143;0.114;0.057;0;0;0.114;0.057;0;0.029
"Wesley Said";0;0;0;0;0;0;0.25;0;0;0.25;0.25;0;0;0.25;0
