"";"Emre Can";"Gregor Kobel";"Ian Maatsen";"Jadon Sancho";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck"
"Emre Can";0;0;0.2;0;0.24;0.12;0.08;0.04;0.04;0.08;0.08;0.12
"Gregor Kobel";0;0;0;0;0.077;0;0;0;0;0.077;0;0.846
"Ian Maatsen";0.267;0.033;0;0;0.267;0;0.167;0.033;0;0;0.2;0.033
"Jadon Sancho";0;0;0;0;0.235;0.412;0;0.235;0.059;0;0.059;0
"Julian Brandt";0.065;0;0.29;0.065;0;0.065;0.097;0.032;0.065;0.065;0.065;0.194
"Julian Ryerson";0.037;0.037;0;0.444;0.148;0;0;0;0;0.185;0.111;0.037
"Karim Adeyemi";0.222;0;0.222;0;0.111;0;0;0;0;0;0.111;0.333
"Marcel Sabitzer";0.111;0;0;0.222;0.222;0.111;0.111;0;0;0;0.222;0
"Marco Reus";0.2;0.1;0.2;0.1;0.1;0;0;0.1;0;0;0.1;0.1
"Mats Hummels";0.25;0.125;0.062;0;0;0.125;0;0;0;0;0.188;0.25
"Niclas Fullkrug";0.273;0;0;0.045;0.227;0.136;0.045;0.045;0.136;0.045;0;0.045
"Nico Schlotterbeck";0.1;0.2;0.367;0.033;0.067;0;0.033;0.033;0.033;0;0.133;0
