"";"Adria Pedrosa";"Djibril Sow";"Dodi Lukebakio";"Fernando";"Ivan Rakitic";"Jesus Navas";"Juanlu Sanchez ";"Lucas Ocampos";"Marcos Acuna";"Nemanja Gudelj";"Oliver Torres";"Orjan Nyland";"Sergio Ramos";"Suso";"Youssef En-Nesyri"
"Adria Pedrosa";0;0;0.25;0.062;0.125;0;0;0.062;0;0;0;0.25;0.062;0.062;0.125
"Djibril Sow";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Dodi Lukebakio";0.071;0;0;0.143;0.214;0.071;0.071;0;0;0.071;0.071;0;0.143;0.071;0.071
"Fernando";0;0;0.125;0;0.125;0.188;0;0.125;0;0;0;0;0.312;0.062;0.062
"Ivan Rakitic";0.1;0;0.15;0;0;0.1;0;0.15;0.1;0;0.05;0;0.1;0.2;0.05
"Jesus Navas";0.048;0;0.143;0.095;0.095;0;0;0.238;0;0.143;0;0;0.048;0.095;0.095
"Juanlu Sanchez ";0;0;0;0;0;0;0;0;0;0;0.667;0;0.333;0;0
"Lucas Ocampos";0.182;0;0;0.091;0.091;0.273;0;0;0;0;0.091;0.091;0.091;0.091;0
"Marcos Acuna";0;0;0.143;0;0.286;0;0;0;0;0;0.429;0;0;0;0.143
"Nemanja Gudelj";0.053;0.053;0;0.105;0;0.211;0;0.105;0;0;0;0.211;0.158;0.105;0
"Oliver Torres";0;0;0.4;0;0.1;0;0.1;0.2;0.1;0;0;0;0.1;0;0
"Orjan Nyland";0.25;0;0;0;0.125;0.125;0;0;0;0.125;0;0;0.25;0;0.125
"Sergio Ramos";0.296;0.074;0.111;0.074;0.074;0;0;0;0.074;0.148;0.074;0.037;0;0;0.037
"Suso";0.25;0;0.167;0.083;0;0.167;0;0.167;0;0;0;0;0.083;0;0.083
"Youssef En-Nesyri";0.2;0;0;0;0;0.2;0;0;0;0.2;0.2;0;0;0.2;0
