"";"Benjamin Henrichs";"Benjamin Sesko";"Castello Lukeba";"Christoph Baumgartner";"Dani Olmo";"David Raum";"Emil Forsberg";"Janis Blaswich";"Kevin Kampl";"Lois Openda";"Lukas Klostermann";"Mohamed Simakan";"Timo Werner";"Xaver Schlager";"Xavi Simons";"Yussuf Poulsen"
"Benjamin Henrichs";0;0;0;0;0;0;0.094;0.125;0.188;0.062;0;0.312;0;0.156;0.031;0.031
"Benjamin Sesko";0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.5;0;0
"Castello Lukeba";0;0;0;0.014;0;0.304;0.014;0.145;0.145;0.029;0.029;0.174;0;0.145;0;0
"Christoph Baumgartner";0;0;0;0;0;0.067;0;0;0.2;0.067;0.067;0.333;0;0.2;0.067;0
"Dani Olmo";0;0;0;0;0;0.4;0;0;0.3;0;0;0;0.3;0;0;0
"David Raum";0;0.017;0.207;0.034;0.086;0;0.034;0.052;0.052;0.034;0;0;0.017;0.19;0.224;0.052
"Emil Forsberg";0.133;0;0;0;0;0;0;0;0.133;0;0;0.2;0;0.2;0.2;0.133
"Janis Blaswich";0.079;0;0.395;0.026;0;0.158;0.026;0;0.132;0;0.026;0.105;0;0.053;0;0
"Kevin Kampl";0.026;0;0.197;0.053;0.026;0.079;0.026;0.079;0;0.053;0.066;0.158;0.026;0.132;0.066;0.013
"Lois Openda";0.231;0;0.077;0.077;0;0.154;0.077;0;0.077;0;0;0.077;0;0;0.077;0.154
"Lukas Klostermann";0;0;0.067;0.267;0;0;0;0.2;0.267;0;0;0.067;0;0.067;0.067;0
"Mohamed Simakan";0.288;0;0.136;0.119;0;0.017;0.034;0.068;0.203;0.017;0.017;0;0.051;0.017;0.017;0.017
"Timo Werner";0;0;0;0.25;0.25;0;0;0;0;0;0;0.25;0;0.25;0;0
"Xaver Schlager";0.073;0.018;0.182;0.055;0.036;0.182;0.036;0.036;0.182;0.055;0;0.018;0.036;0;0.055;0.036
"Xavi Simons";0.037;0;0.037;0;0;0.222;0.037;0;0.185;0.111;0;0.074;0;0.185;0;0.111
"Yussuf Poulsen";0.083;0;0;0;0;0.167;0.167;0;0.167;0.167;0;0.083;0;0.083;0.083;0
