"";"Achraf Hakimi";"Bradley Barcola";"Gianluigi Donnarumma";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marco Asensio";"Marquinhos";"Milan Skriniar";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0;0.017;0.034;0.051;0.034;0.051;0.085;0.22;0.051;0.186;0.051;0.22
"Bradley Barcola";0.067;0;0;0.267;0.267;0.2;0;0;0;0;0;0.133;0.067
"Gianluigi Donnarumma";0.118;0;0;0;0;0.176;0;0;0.412;0.235;0;0;0.059
"Kang-In Lee";0;0.333;0.048;0;0.286;0.19;0;0;0;0.048;0.048;0;0.048
"Kylian Mbappe";0;0.174;0;0.13;0;0.087;0;0;0;0.043;0.174;0.174;0.217
"Lucas Hernandez";0;0.18;0;0.18;0.1;0;0.02;0;0;0.28;0.08;0.14;0.02
"Manuel Ugarte";0.286;0;0;0;0;0.214;0;0;0.071;0.143;0;0.143;0.143
"Marco Asensio";0.4;0;0;0;0;0;0;0;0.2;0.2;0;0.2;0
"Marquinhos";0.452;0;0.081;0;0;0.016;0.032;0.016;0;0.274;0.032;0.048;0.048
"Milan Skriniar";0.066;0.033;0.049;0.049;0.016;0.23;0.016;0.016;0.361;0;0;0.115;0.049
"Randal Kolo Muani";0.143;0.095;0;0.048;0.19;0.048;0;0;0;0.048;0;0.286;0.143
"Vitinha Ferreira";0.12;0.02;0.02;0.1;0.16;0.08;0.04;0;0.16;0.12;0.1;0;0.08
"Warren Zaire-Emery";0.257;0;0.029;0.086;0.057;0.057;0.057;0;0.057;0.057;0.114;0.229;0
