"";"Amadou Haidara";"Castello Lukeba";"Christoph Baumgartner";"David Raum";"Emil Forsberg";"Janis Blaswich";"Lois Openda";"Lukas Klostermann";"Mohamed Simakan";"Nicolas Seiwald";"Timo Werner";"Xaver Schlager";"Xavi Simons";"Yussuf Poulsen"
"Amadou Haidara";0;0.111;0;0.222;0;0.111;0;0.222;0.111;0;0.111;0.111;0;0
"Castello Lukeba";0;0;0.024;0.19;0.048;0.262;0;0.19;0;0.048;0;0.095;0.119;0.024
"Christoph Baumgartner";0;0;0;0.25;0;0;0;0;0.25;0;0.25;0.25;0;0
"David Raum";0.115;0.231;0.038;0;0.077;0.038;0;0;0;0.038;0.038;0.154;0.231;0.038
"Emil Forsberg";0;0;0;0.273;0;0;0.091;0;0.091;0;0;0.182;0.182;0.182
"Janis Blaswich";0;0.258;0;0.129;0;0;0;0.323;0.161;0.032;0;0.097;0;0
"Lois Openda";0;0;0;0;0;0;0;0.25;0;0;0;0;0.5;0.25
"Lukas Klostermann";0;0.3;0;0;0;0.225;0.025;0;0.075;0.175;0.025;0.075;0.05;0.05
"Mohamed Simakan";0;0;0.15;0;0;0.1;0;0.2;0;0.05;0.1;0.15;0.1;0.15
"Nicolas Seiwald";0;0.053;0;0.053;0;0;0.053;0.421;0;0;0.053;0.158;0.211;0
"Timo Werner";0.333;0.333;0.167;0;0;0.167;0;0;0;0;0;0;0;0
"Xaver Schlager";0.074;0.111;0;0.222;0.185;0;0.037;0.074;0.037;0.185;0.037;0;0.037;0
"Xavi Simons";0;0.25;0;0.042;0.125;0;0.125;0.25;0.083;0.042;0;0.083;0;0
"Yussuf Poulsen";0;0.125;0;0;0.125;0;0.375;0.125;0.125;0.125;0;0;0;0
