"";"Abel Ruiz";"Al Musrati";"Alvaro Djalo";"Bruma";"Cristian Borja ";"Diogo Fonseca";"Joao Moutinho";"Joe Mendes";"Matheus";"Ricardo Horta";"Rodrigo Zalazar";"Serdar Saatci";"Sikou Niakate";"Simon Banza";"Vitor Carvalho"
"Abel Ruiz";0;0;0;0.667;0;0.333;0;0;0;0;0;0;0;0;0
"Al Musrati";0;0;0.06;0;0.04;0.04;0;0.24;0;0.12;0.06;0.18;0.12;0;0.14
"Alvaro Djalo";0;0.083;0;0;0.167;0.083;0.083;0.167;0;0.25;0.083;0;0;0.083;0
"Bruma";0.067;0;0.067;0;0.267;0;0.2;0;0;0.333;0;0;0.067;0;0
"Cristian Borja ";0.028;0.167;0.083;0.056;0;0;0.083;0;0.028;0;0.194;0;0.056;0.083;0.222
"Diogo Fonseca";0;0;0.222;0;0.111;0;0;0;0.111;0;0.444;0.111;0;0;0
"Joao Moutinho";0;0;0.1;0.2;0;0.25;0;0;0;0.1;0.05;0.05;0.25;0;0
"Joe Mendes";0;0.5;0.042;0;0;0;0;0;0;0.125;0.042;0.167;0;0;0.125
"Matheus";0;0.045;0;0;0.091;0.045;0.045;0.091;0;0;0;0.136;0.409;0;0.136
"Ricardo Horta";0.036;0.107;0.107;0.071;0.179;0;0.107;0.143;0;0;0.179;0;0;0.036;0.036
"Rodrigo Zalazar";0.03;0.242;0;0.03;0.152;0.061;0.03;0.061;0.03;0.242;0;0;0.061;0;0.061
"Serdar Saatci";0;0.194;0.028;0;0.056;0.056;0.028;0.083;0.139;0.056;0.028;0;0.167;0;0.167
"Sikou Niakate";0;0.158;0.026;0.105;0.132;0;0.105;0;0.053;0.026;0.132;0.079;0;0.026;0.158
"Simon Banza";0;0.2;0.2;0;0;0;0;0.2;0;0;0.2;0;0.2;0;0
"Vitor Carvalho";0;0.275;0.025;0;0.075;0;0;0.1;0.05;0.05;0.075;0.25;0.1;0;0
