"";"Alan Varela";"Danny Namaso";"David Carmo";"Diogo Costa";"Evanilson";"Fabio Cardoso";"Francisco Conceicao";"Galeno";"Ivan Jaime";"Joao Mario";"Mehdi Taremi";"Nico Gonzalez";"Pepe";"Romario Baro";"Stephen Eustaquio";"Wendell"
"Alan Varela";0;0;0.241;0.034;0.069;0.172;0;0.069;0;0.138;0;0;0.103;0.069;0.069;0.034
"Danny Namaso";0;0;0;0;0;0;0;0;0;0;0;0.333;0.333;0;0;0.333
"David Carmo";0.147;0;0;0.235;0;0.088;0;0.029;0;0;0.059;0.029;0;0.059;0;0.353
"Diogo Costa";0.045;0;0.364;0;0;0.182;0;0.045;0.045;0.045;0.045;0;0;0.045;0;0.182
"Evanilson";0.333;0;0.333;0;0;0;0;0.333;0;0;0;0;0;0;0;0
"Fabio Cardoso";0.179;0.036;0.107;0.214;0;0;0.036;0;0;0.143;0;0.071;0.107;0.071;0.036;0
"Francisco Conceicao";0;0.125;0;0;0.125;0;0;0;0.125;0;0;0.125;0.125;0;0.125;0.25
"Galeno";0.067;0;0;0;0;0;0;0;0;0;0.067;0;0;0;0.267;0.6
"Ivan Jaime";0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0.6
"Joao Mario";0.267;0;0;0.133;0;0.267;0;0;0;0;0;0;0.133;0.2;0;0
"Mehdi Taremi";0;0;0.125;0;0;0;0;0.125;0;0.125;0;0;0.125;0.125;0.25;0.125
"Nico Gonzalez";0;0;0.091;0;0;0.273;0.273;0;0.091;0;0;0;0.182;0;0;0.091
"Pepe";0;0.048;0;0.048;0;0;0.143;0.048;0;0.095;0.048;0.143;0;0.143;0.19;0.095
"Romario Baro";0.385;0;0.077;0;0;0.077;0;0.077;0;0.231;0;0;0.077;0;0.077;0
"Stephen Eustaquio";0.08;0;0.08;0.04;0;0.08;0;0.24;0;0.04;0.12;0;0.08;0.12;0;0.12
"Wendell";0.214;0;0.19;0.048;0;0.048;0.024;0.071;0.119;0.024;0.048;0.024;0.071;0;0.119;0
