"";"Alistair Johnston";"Callum McGregor";"Cameron Carter-Vickers";"Daizen Maeda";"Greg Taylor";"James Forrest";"Joe Hart";"Kyogo Furuhashi";"Liam Scales";"Luis Palma";"Matt O'Riley";"Nathaniel Phillips";"Paulo Bernardo"
"Alistair Johnston";0;0.093;0.173;0.32;0.013;0.013;0.04;0.027;0.04;0;0.187;0.08;0.013
"Callum McGregor";0.184;0;0.122;0;0.122;0.02;0.041;0.061;0.204;0.082;0.122;0;0.041
"Cameron Carter-Vickers";0.359;0.077;0;0.013;0.026;0.013;0.064;0;0.256;0;0.103;0.09;0
"Daizen Maeda";0.4;0.05;0.2;0;0;0.05;0;0.1;0;0;0.05;0.05;0.1
"Greg Taylor";0.014;0.114;0.014;0;0;0.029;0;0.057;0.3;0.214;0.086;0;0.171
"James Forrest";0;0.429;0;0.143;0;0;0;0;0.143;0;0;0.286;0
"Joe Hart";0.091;0.091;0.318;0;0;0;0;0;0.364;0;0.045;0.091;0
"Kyogo Furuhashi";0;0.077;0;0.231;0.154;0;0;0;0;0;0.462;0.077;0
"Liam Scales";0.049;0.049;0.296;0;0.444;0;0.062;0;0;0;0.025;0.012;0.062
"Luis Palma";0.045;0.182;0;0;0.364;0;0;0;0.136;0;0.136;0;0.136
"Matt O'Riley";0.378;0.111;0.089;0.022;0.067;0.022;0;0.067;0.044;0.111;0;0.067;0.022
"Nathaniel Phillips";0.478;0.087;0.174;0;0;0.043;0.087;0;0.087;0;0.043;0;0
"Paulo Bernardo";0.042;0;0.083;0.042;0.292;0.125;0.042;0.042;0.25;0.083;0;0;0
