"";"Artem Bondarenko";"Danylo Sikan";"Dmytro Kryskiv";"Dmytro Riznyk";"Georgiy Sudakov";"Giorgi Gocholeishvili";"Irakli Azarovi";"Mykola Matvienko";"Newerton";"Oleksandr Zubkov";"Taras Stepanenko";"Valeriy Bondar"
"Artem Bondarenko";0;0.25;0;0;0.5;0;0;0;0;0.25;0;0
"Danylo Sikan";0;0;0.167;0;0.167;0.083;0;0.167;0.083;0.25;0.083;0
"Dmytro Kryskiv";0;0.1;0;0;0.1;0;0.2;0;0.1;0.2;0.1;0.2
"Dmytro Riznyk";0;0;0.154;0;0;0;0.154;0.308;0;0.077;0.154;0.154
"Georgiy Sudakov";0.086;0.057;0.086;0;0;0.029;0.029;0.2;0.029;0.286;0.114;0.086
"Giorgi Gocholeishvili";0;0;0.059;0;0.059;0;0;0.118;0.059;0.176;0.118;0.412
"Irakli Azarovi";0;0.034;0.034;0.034;0.172;0.034;0;0.31;0.172;0.034;0.172;0
"Mykola Matvienko";0;0.027;0;0.162;0.189;0;0.162;0;0.054;0.081;0.135;0.189
"Newerton";0;0;0;0;0.333;0;0.222;0;0;0.111;0;0.333
"Oleksandr Zubkov";0.032;0.129;0.097;0.032;0.258;0.065;0.129;0.065;0;0;0.097;0.097
"Taras Stepanenko";0.036;0;0.036;0;0.286;0.071;0.214;0.107;0.036;0;0;0.214
"Valeriy Bondar";0;0.028;0;0.111;0;0.333;0.028;0.222;0;0.167;0.111;0
