"";"Artem Bondarenko";"Danylo Sikan";"Dmytro Kryskiv";"Dmytro Riznyk";"Georgiy Sudakov";"Giorgi Gocholeishvili";"Kevin Kelsy ";"Mykola Matvienko";"Newerton";"Oleksandr Zubkov";"Taras Stepanenko";"Valeriy Bondar";"Yaroslav Rakitskyi"
"Artem Bondarenko";0;0;0.021;0.104;0.083;0.104;0;0.021;0.042;0.146;0.167;0.188;0.125
"Danylo Sikan";0.444;0;0.111;0;0;0.111;0;0.111;0;0.111;0.111;0;0
"Dmytro Kryskiv";0.062;0;0;0;0.25;0;0;0.188;0;0.062;0.188;0.125;0.125
"Dmytro Riznyk";0.13;0;0;0;0.043;0.087;0;0.043;0;0;0.217;0.304;0.174
"Georgiy Sudakov";0.111;0;0.111;0;0;0.056;0.056;0.056;0.111;0.111;0.278;0.056;0.056
"Giorgi Gocholeishvili";0.182;0.061;0.03;0.091;0.03;0;0;0;0;0.242;0.121;0.182;0.061
"Kevin Kelsy ";0;0;0;0;0;0;0;0;1;0;0;0;0
"Mykola Matvienko";0;0.077;0.115;0;0.269;0;0;0;0.192;0;0.115;0.077;0.154
"Newerton";0.222;0;0;0;0.222;0;0;0.444;0;0;0.111;0;0
"Oleksandr Zubkov";0.3;0.1;0.05;0;0.1;0.25;0;0;0;0;0.05;0.15;0
"Taras Stepanenko";0.1;0.1;0.133;0;0.067;0.067;0;0.2;0;0.067;0;0.2;0.067
"Valeriy Bondar";0.318;0.023;0;0.136;0.045;0.205;0.023;0;0;0.045;0.023;0;0.182
"Yaroslav Rakitskyi";0.212;0.03;0.121;0.242;0;0.061;0;0.121;0.03;0;0.03;0.152;0
