"";"Aaron Wan-Bissaka";"Alejandro Garnacho";"Andre Onana";"Bruno Fernandes";"Christian Eriksen";"Diogo Dalot";"Harry Maguire";"Jonny Evans";"Marcus Rashford";"Raphael Varane";"Rasmus Hojlund";"Scott McTominay";"Sofyan Amrabat"
"Aaron Wan-Bissaka";0;0.021;0.083;0.146;0.042;0.021;0.083;0;0.104;0.167;0.042;0.271;0.021
"Alejandro Garnacho";0.087;0;0.087;0.217;0;0.174;0.174;0;0;0.087;0.043;0.043;0.087
"Andre Onana";0.222;0.028;0;0;0.056;0.361;0.194;0.056;0;0.083;0;0;0
"Bruno Fernandes";0.111;0.111;0.056;0;0;0;0.111;0.056;0.222;0.111;0.056;0.111;0.056
"Christian Eriksen";0.105;0;0.053;0.158;0;0.105;0.211;0;0.211;0.053;0.053;0.053;0
"Diogo Dalot";0.022;0.267;0.111;0.044;0.022;0;0.111;0.044;0;0.044;0.044;0.156;0.133
"Harry Maguire";0.096;0.058;0.212;0.019;0.077;0.115;0;0.038;0;0.154;0;0.115;0.115
"Jonny Evans";0.111;0.111;0.222;0;0;0.111;0.444;0;0;0;0;0;0
"Marcus Rashford";0.2;0;0;0.2;0.3;0;0;0;0;0.2;0;0.1;0
"Raphael Varane";0.27;0;0.108;0.054;0.081;0.027;0.243;0;0.027;0;0.027;0.081;0.081
"Rasmus Hojlund";0.125;0.125;0.125;0;0.125;0;0.125;0;0;0;0;0.125;0.25
"Scott McTominay";0.156;0;0.031;0.094;0.062;0.094;0.219;0.031;0.031;0.125;0.031;0;0.125
"Sofyan Amrabat";0.091;0.227;0.045;0.045;0;0.136;0.227;0;0;0.227;0;0;0
