"";"Adria Pedrosa";"Djibril Sow";"Erik Lamela";"Fernando";"Ivan Rakitic";"Joan Jordan";"Juanlu Sanchez ";"Kike Salas";"Loic Bade";"Lucas Ocampos";"Mariano Diaz";"Marko Dmitrovic";"Nemanja Gudelj";"Tanguy Nianzou"
"Adria Pedrosa";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Djibril Sow";0;0;0.143;0.571;0;0;0;0;0;0;0;0;0.286;0
"Erik Lamela";0.182;0;0;0;0;0;0.545;0.182;0;0;0;0;0.091;0
"Fernando";0;0.107;0.036;0;0.036;0.036;0.071;0.071;0.143;0;0;0.107;0.357;0.036
"Ivan Rakitic";0;0;0;0.083;0;0;0;0;0.333;0;0.083;0.083;0.333;0.083
"Joan Jordan";0;0;0.062;0.312;0;0;0.062;0;0.375;0;0;0.062;0.125;0
"Juanlu Sanchez ";0.056;0.111;0.111;0.056;0.111;0.111;0;0;0.333;0.111;0;0;0;0
"Kike Salas";0.111;0;0.056;0.056;0;0;0;0;0.167;0;0;0.278;0.333;0
"Loic Bade";0;0.03;0;0.242;0;0.091;0.121;0.03;0;0.03;0;0.121;0.333;0
"Lucas Ocampos";0;0;0;0;0.8;0;0;0;0;0;0.2;0;0;0
"Mariano Diaz";0;0;0.333;0;0;0;0.333;0;0;0.333;0;0;0;0
"Marko Dmitrovic";0;0.1;0;0;0.2;0;0.1;0;0.1;0;0;0;0.5;0
"Nemanja Gudelj";0;0;0.075;0.125;0.05;0.1;0;0.275;0.2;0;0;0.175;0;0
"Tanguy Nianzou";0;0;0.25;0;0.75;0;0;0;0;0;0;0;0;0
