"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Jan Oblak";"Jose Gimenez";"Koke";"Marcos Llorente";"Mario Hermoso";"Memphis Depay";"Nahuel Molina";"Pablo Barrios ";"Rodrigo de Paul";"Rodrigo Riquelme";"Saul Niguez"
"Alvaro Morata";0;0;0.438;0;0;0;0.062;0;0.062;0;0;0;0.25;0.188;0
"Angel Correa";0;0;0;0;0;0;0;0;0.143;0.286;0.143;0.429;0;0;0
"Antoine Griezmann";0.324;0;0;0;0;0.059;0.029;0.029;0.059;0.029;0.059;0.088;0.118;0.206;0
"Axel Witsel";0.019;0.019;0.019;0;0.096;0.096;0.154;0.019;0.019;0.019;0.442;0.019;0.077;0;0
"Jan Oblak";0;0;0;0.389;0;0.111;0;0;0.278;0;0.111;0;0.056;0.056;0
"Jose Gimenez";0.026;0;0;0.211;0.079;0;0.079;0;0.316;0;0.105;0;0.132;0.053;0
"Koke";0.021;0;0.085;0.149;0.043;0.149;0;0.085;0.106;0;0.128;0.043;0.149;0.043;0
"Marcos Llorente";0;0;0;0.4;0;0;0.4;0;0;0;0.2;0;0;0;0
"Mario Hermoso";0.113;0;0.075;0.038;0.075;0.113;0.038;0;0;0.038;0.019;0.038;0.17;0.226;0.057
"Memphis Depay";0;0.3;0.1;0;0;0;0;0;0.1;0;0.1;0;0;0.4;0
"Nahuel Molina";0.057;0.038;0.038;0.17;0.019;0.019;0.189;0.132;0;0.057;0;0.094;0.132;0;0.057
"Pablo Barrios ";0.105;0;0.053;0.158;0;0.053;0.211;0;0.053;0.053;0.211;0;0.053;0.053;0
"Rodrigo de Paul";0.111;0;0.111;0.044;0;0.156;0.156;0.022;0.178;0;0.133;0.067;0;0.022;0
"Rodrigo Riquelme";0.032;0.032;0.194;0;0;0;0.097;0;0.387;0.065;0;0;0.161;0;0.032
"Saul Niguez";0;0;0.143;0.143;0;0;0.143;0;0;0.143;0;0.286;0;0.143;0
