"";"Abel Ruiz";"Al Musrati";"Andre Horta";"Bruma";"Cristian Borja ";"Joao Moutinho";"Joe Mendes";"Jose Fonte";"Matheus";"Pizzi";"Ricardo Horta";"Rodrigo Zalazar";"Rony Lopes";"Serdar Saatci";"Simon Banza";"Victor Gomez"
"Abel Ruiz";0;0.1;0;0.3;0.1;0;0.1;0;0;0;0;0;0.1;0;0.2;0.1
"Al Musrati";0.059;0;0.118;0.176;0.059;0.118;0.059;0.059;0.059;0;0.059;0;0;0.059;0.118;0.059
"Andre Horta";0;0.75;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0
"Bruma";0.088;0.059;0.029;0;0.235;0.147;0;0;0;0.059;0.088;0.147;0;0.059;0.059;0.029
"Cristian Borja ";0.059;0.088;0;0.294;0;0.176;0;0.029;0.059;0.059;0.059;0.059;0;0.059;0.029;0.029
"Joao Moutinho";0.017;0.017;0;0.102;0;0;0;0.085;0;0.068;0.169;0.254;0;0.017;0.068;0.203
"Joe Mendes";0.167;0;0.167;0;0;0;0;0;0;0;0;0;0.333;0.167;0.167;0
"Jose Fonte";0;0.069;0.034;0;0;0.172;0.034;0;0.138;0.069;0.034;0.069;0;0.172;0.034;0.172
"Matheus";0;0;0.071;0.071;0.071;0;0;0.357;0;0.071;0;0;0;0.286;0;0.071
"Pizzi";0;0;0;0.136;0.045;0.136;0;0.136;0;0;0.136;0.045;0;0.091;0;0.273
"Ricardo Horta";0;0.036;0;0.071;0.107;0.214;0;0.036;0;0.25;0;0.143;0;0;0.036;0.107
"Rodrigo Zalazar";0;0;0;0.235;0.029;0.235;0;0.088;0;0.147;0.088;0;0;0.029;0.088;0.059
"Rony Lopes";0.167;0.167;0.167;0;0;0;0.333;0;0;0;0;0;0;0;0.167;0
"Serdar Saatci";0;0.037;0;0.111;0.296;0.185;0;0.148;0.074;0.037;0;0.037;0;0;0.037;0.037
"Simon Banza";0;0.056;0.056;0.056;0;0.222;0;0;0;0.111;0.167;0.111;0.111;0.056;0;0.056
"Victor Gomez";0;0.026;0;0.154;0;0.205;0;0.205;0.026;0.026;0.205;0.077;0;0.026;0.051;0
