"";"Amadou Haidara";"Benjamin Henrichs";"Benjamin Sesko";"Dani Olmo";"David Raum";"Eljif Elmas";"Kevin Kampl";"Lois Openda";"Lukas Klostermann";"Mohamed Simakan";"Peter Gulacsi";"Willi Orban";"Xaver Schlager";"Xavi Simons";"Yussuf Poulsen"
"Amadou Haidara";0;0;0.111;0;0;0;0;0;0.111;0.111;0.111;0;0.111;0.444;0
"Benjamin Henrichs";0;0;0.041;0.122;0.02;0;0;0.061;0.245;0.184;0.02;0.224;0.041;0.041;0
"Benjamin Sesko";0;0;0;0.267;0.067;0;0;0.133;0;0;0;0;0.133;0.4;0
"Dani Olmo";0;0.3;0.25;0;0;0;0;0.05;0.05;0.2;0;0.05;0.05;0.05;0
"David Raum";0;0.071;0.071;0;0;0.024;0.024;0.071;0;0;0.048;0.238;0.238;0.214;0
"Eljif Elmas";0.333;0;0;0;0.333;0;0;0;0;0.333;0;0;0;0;0
"Kevin Kampl";0.2;0;0;0;0.2;0;0;0;0;0;0;0.6;0;0;0
"Lois Openda";0;0.3;0.1;0.1;0.2;0;0;0;0;0;0;0.2;0.1;0;0
"Lukas Klostermann";0.016;0.226;0;0.032;0;0;0;0.016;0;0.081;0.097;0.29;0.177;0.065;0
"Mohamed Simakan";0.027;0.189;0.054;0.189;0;0.027;0;0;0.216;0;0.108;0.054;0.027;0.081;0.027
"Peter Gulacsi";0;0.037;0;0;0.148;0;0;0;0.296;0;0;0.407;0.111;0;0
"Willi Orban";0.022;0.097;0.022;0.054;0.108;0;0.032;0.032;0.204;0.043;0.086;0;0.215;0.086;0
"Xaver Schlager";0.016;0.081;0.016;0.032;0.129;0;0;0.048;0.145;0.016;0.016;0.306;0;0.194;0
"Xavi Simons";0;0.128;0.128;0.051;0.205;0;0;0;0.026;0.154;0;0.205;0.103;0;0
"Yussuf Poulsen";0.333;0;0.333;0;0;0;0;0;0;0;0;0;0;0.333;0
