"";"Achraf Hakimi";"Bradley Barcola";"Danilo Pereira";"Fabian Ruiz";"Gianluigi Donnarumma";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marco Asensio";"Milan Skriniar";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira"
"Achraf Hakimi";0;0;0.012;0.19;0.012;0.179;0.024;0.024;0.071;0.048;0.107;0.262;0.024;0.048
"Bradley Barcola";0;0;0;0.176;0;0;0.059;0.235;0;0;0.059;0;0;0.471
"Danilo Pereira";0.014;0.029;0;0.029;0.086;0.086;0.043;0.357;0.071;0;0.257;0;0;0.029
"Fabian Ruiz";0.143;0.022;0.022;0;0;0.077;0.044;0.231;0.11;0.011;0.154;0.088;0.022;0.077
"Gianluigi Donnarumma";0.13;0;0.348;0.043;0;0;0;0.087;0;0;0.391;0;0;0
"Kang-In Lee";0.125;0;0.062;0.094;0;0;0.172;0.188;0.109;0;0.078;0.141;0.031;0
"Kylian Mbappe";0;0.087;0;0.087;0;0.261;0;0.261;0.13;0;0;0.174;0;0
"Lucas Hernandez";0;0.141;0.202;0.222;0.02;0.071;0.071;0;0.212;0;0.02;0;0.01;0.03
"Manuel Ugarte";0.14;0;0.123;0.158;0.018;0.158;0;0.263;0;0;0.105;0.018;0.018;0
"Marco Asensio";0.273;0;0;0.455;0;0;0;0.091;0;0;0.091;0.091;0;0
"Milan Skriniar";0.407;0;0.235;0.062;0.062;0.062;0;0.025;0.025;0.025;0;0.062;0;0.037
"Ousmane Dembele";0.333;0;0;0.231;0;0.128;0.051;0.026;0.077;0.051;0.026;0;0.077;0
"Randal Kolo Muani";0.182;0;0;0.091;0;0.091;0.273;0;0;0;0;0.364;0;0
"Vitinha Ferreira";0.12;0.12;0;0.28;0;0.04;0;0.2;0;0.08;0.08;0.08;0;0
