"";"Artem Bondarenko";"Artur Rudko";"Danylo Sikan";"Dmytro Kryskiv";"Dmytro Riznyk";"Georgiy Sudakov";"Irakli Azarovi";"Kevin Kelsy ";"Mykola Matvienko";"Newerton";"Oleksandr Zubkov";"Taras Stepanenko";"Valeriy Bondar";"Yukhym Konoplya"
"Artem Bondarenko";0;0;0;0.043;0.043;0.152;0.152;0.022;0.239;0;0.087;0.087;0.087;0.087
"Artur Rudko";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Danylo Sikan";0.143;0;0;0.143;0;0.143;0.071;0;0;0;0.143;0.214;0.071;0.071
"Dmytro Kryskiv";0.105;0;0.105;0;0;0.158;0.158;0;0.158;0;0.053;0.105;0.158;0
"Dmytro Riznyk";0.176;0;0;0;0;0;0.235;0;0.353;0;0;0;0.235;0
"Georgiy Sudakov";0.278;0;0.056;0.139;0;0;0.139;0;0;0.028;0.139;0.194;0.028;0
"Irakli Azarovi";0.048;0;0.024;0.048;0.095;0.238;0;0;0.31;0;0.024;0.119;0.095;0
"Kevin Kelsy ";0.5;0;0;0;0;0.5;0;0;0;0;0;0;0;0
"Mykola Matvienko";0.275;0.02;0.02;0.098;0.098;0.098;0.157;0;0;0;0;0.137;0.098;0
"Newerton";0;0;0;0;0;0;0.75;0;0;0;0.25;0;0;0
"Oleksandr Zubkov";0.19;0;0;0.095;0.048;0.19;0;0;0.095;0;0;0.095;0.048;0.238
"Taras Stepanenko";0.229;0;0.057;0.029;0;0.229;0.057;0;0.171;0.029;0.086;0;0.114;0
"Valeriy Bondar";0.139;0;0;0;0.139;0.028;0.028;0;0.25;0;0.167;0.028;0;0.222
"Yukhym Konoplya";0.105;0;0;0;0;0.158;0;0;0.053;0;0.211;0.263;0.211;0
