"";"Birger Meling";"Denis Vavro";"Diogo Goncalves";"Elias Achouri";"Jordan Larsson";"Kamil Grabara";"Kevin Diks";"Lukas Lerager";"Mohamed Elyounoussi";"Orri Oskarsson";"Peter Ankersen";"Rasmus Falk";"Roony Bardghji";"Valdemar Lund";"Viktor Claesson"
"Birger Meling";0;0;0.135;0.162;0;0;0.189;0.054;0.081;0;0.054;0.162;0.027;0.027;0.108
"Denis Vavro";0;0;0;0.028;0;0.222;0.139;0.028;0;0;0.333;0.167;0;0.028;0.056
"Diogo Goncalves";0.174;0.043;0;0.087;0;0.087;0.174;0;0.13;0;0.087;0.087;0;0;0.13
"Elias Achouri";0.2;0;0.2;0;0;0;0.067;0.067;0.067;0;0.133;0.2;0;0;0.067
"Jordan Larsson";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Kamil Grabara";0.04;0.36;0;0;0;0;0.44;0.04;0;0;0.04;0.04;0;0.04;0
"Kevin Diks";0.262;0.19;0.048;0.024;0;0.119;0;0.048;0.024;0;0.024;0.167;0;0;0.095
"Lukas Lerager";0.056;0.056;0.167;0;0;0;0;0;0.056;0;0.278;0.111;0.056;0.056;0.167
"Mohamed Elyounoussi";0.214;0;0;0;0;0;0;0.071;0;0;0.143;0.357;0;0;0.214
"Orri Oskarsson";0;0;0;0;0;0;0;0;0;0;0.5;0;0.5;0;0
"Peter Ankersen";0;0.222;0.083;0.056;0;0.139;0.028;0.139;0;0.028;0;0.139;0.111;0.028;0.028
"Rasmus Falk";0.106;0.191;0.106;0.106;0.021;0;0.064;0.043;0.021;0;0.106;0;0.021;0.085;0.128
"Roony Bardghji";0.125;0.125;0;0;0;0;0;0;0.125;0;0.125;0.375;0;0;0.125
"Valdemar Lund";0.25;0.125;0;0;0;0.25;0;0;0;0;0.125;0.125;0;0;0.125
"Viktor Claesson";0.077;0.038;0.154;0.077;0;0.038;0;0.077;0.115;0;0.154;0.192;0.038;0.038;0
