"";"Aleksandar Dragovic";"Aleksandar Katai";"Cherif Ndiaye";"Guelor Kanga";"In-beom Hwang";"Jean-Philippe Krasso";"Jovan Mijatovic";"Kosta Nedeljkovic";"Milan Rodic";"Mirko Ivanic";"Nasser Djiga";"Omri Glazer";"Osman Bukari";"Peter Olayinka";"Srdjan Mijailovic";"Vladimir Lucic"
"Aleksandar Dragovic";0;0;0.02;0.163;0.204;0.041;0;0.041;0.122;0;0.122;0.041;0.061;0.041;0.041;0.102
"Aleksandar Katai";0;0;0;0.5;0;0;0;0;0;0;0.5;0;0;0;0;0
"Cherif Ndiaye";0.143;0;0;0.143;0;0;0;0.143;0.143;0.429;0;0;0;0;0;0
"Guelor Kanga";0.064;0;0.021;0;0.213;0.043;0;0.064;0.128;0.021;0.064;0.021;0.106;0;0.149;0.106
"In-beom Hwang";0.119;0;0.048;0.214;0;0.024;0.048;0.167;0.048;0;0.19;0.024;0;0.024;0.048;0.048
"Jean-Philippe Krasso";0;0;0;0.25;0;0;0;0;0;0.25;0;0;0.25;0;0.25;0
"Jovan Mijatovic";0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0
"Kosta Nedeljkovic";0;0.042;0.083;0.125;0.208;0;0;0;0;0.167;0.167;0;0.208;0;0;0
"Milan Rodic";0.13;0;0.043;0.174;0.087;0.043;0;0;0;0;0.043;0.043;0.087;0;0;0.348
"Mirko Ivanic";0;0;0;0;0.182;0.182;0;0.182;0.182;0;0.091;0;0;0;0.091;0.091
"Nasser Djiga";0.196;0;0;0.174;0.13;0;0;0.087;0.043;0.022;0;0.152;0;0.043;0.109;0.043
"Omri Glazer";0.526;0;0;0.158;0;0;0;0;0;0;0.211;0;0.053;0.053;0;0
"Osman Bukari";0.043;0;0;0.217;0.087;0;0;0.174;0.043;0.087;0.087;0;0;0.043;0.13;0.087
"Peter Olayinka";0.2;0.2;0;0.2;0;0;0.2;0;0;0;0;0;0.2;0;0;0
"Srdjan Mijailovic";0.091;0;0;0.182;0.091;0.091;0;0;0;0.045;0.182;0.136;0.182;0;0;0
"Vladimir Lucic";0.167;0;0.083;0.208;0.083;0.042;0;0;0.208;0.042;0;0;0.167;0;0;0
