"";"Alexis Sanchez";"Carlos Augusto";"Davide Frattesi";"Davy Klaassen";"Emil Audero";"Federico Dimarco";"Francesco Acerbi";"Juan Cuadrado";"Kristjan Asllani";"Lautaro Martinez";"Marcus Thuram";"Marko Arnautovic";"Matteo Darmian";"Nicolo Barella";"Stefan de Vrij";"Yann Bisseck"
"Alexis Sanchez";0;0;0.25;0.125;0;0;0.062;0;0.125;0;0;0;0;0;0.125;0.312
"Carlos Augusto";0.091;0;0.023;0.182;0.045;0.045;0.159;0;0.136;0;0.091;0;0;0.114;0.068;0.045
"Davide Frattesi";0.107;0.107;0;0.036;0;0;0.071;0.036;0.071;0;0.036;0.107;0.25;0;0.107;0.071
"Davy Klaassen";0;0.2;0.05;0;0;0;0.2;0;0.15;0;0;0.05;0.1;0;0.25;0
"Emil Audero";0;0.071;0.036;0;0;0.036;0.214;0;0.107;0;0;0;0.107;0;0.071;0.357
"Federico Dimarco";0;0.167;0;0;0.083;0;0;0;0.25;0;0.167;0;0;0.333;0;0
"Francesco Acerbi";0.013;0.329;0;0.026;0.039;0.013;0;0.013;0.105;0;0;0;0;0;0.329;0.132
"Juan Cuadrado";0;0;0.273;0;0;0;0.091;0;0.182;0.273;0;0;0;0;0;0.182
"Kristjan Asllani";0.069;0.052;0.086;0.017;0.017;0;0.259;0.086;0;0;0;0;0.121;0;0.052;0.241
"Lautaro Martinez";0;0;0.5;0;0;0;0;0;0;0;0;0;0;0.5;0;0
"Marcus Thuram";0;0;0;0;0;0;0;0.25;0;0;0;0;0;0.75;0;0
"Marko Arnautovic";0.167;0;0;0.167;0;0;0;0;0;0;0;0;0.333;0;0.167;0.167
"Matteo Darmian";0.093;0;0.163;0;0.047;0;0;0;0.186;0;0;0.07;0;0;0.116;0.326
"Nicolo Barella";0;0.111;0;0;0;0.444;0.111;0.111;0.222;0;0;0;0;0;0;0
"Stefan de Vrij";0.012;0.012;0;0.024;0.036;0;0.381;0;0.155;0;0;0;0.012;0;0;0.369
"Yann Bisseck";0.034;0;0.125;0.011;0.102;0;0.057;0.034;0.102;0;0;0.011;0.205;0.011;0.307;0
