"";"Alex Meret";"Eljif Elmas";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Giovanni Simeone";"Jens Cajuste";"Khvicha Kvaratskhelia";"Leo Ostigard";"Mario Rui";"Mathias Olivera";"Matteo Politano";"Natan";"Piotr Zielinski";"Stanislav Lobotka";"Victor Osimhen";"Zambo Anguissa"
"Alex Meret";0;0;0;0.167;0;0;0;0.167;0;0;0.111;0.5;0;0.056;0;0
"Eljif Elmas";0;0;0.067;0.2;0;0.133;0.133;0;0;0;0;0.067;0.133;0.133;0;0.133
"Giacomo Raspadori";0;0.5;0;0.167;0;0;0;0;0;0;0;0.167;0;0.167;0;0
"Giovanni Di Lorenzo";0.053;0.053;0.018;0;0;0.018;0;0.123;0.018;0;0.228;0.105;0.018;0.228;0.018;0.123
"Giovanni Simeone";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Jens Cajuste";0;0.2;0;0.6;0;0;0;0;0.2;0;0;0;0;0;0;0
"Khvicha Kvaratskhelia";0;0;0.036;0.036;0;0;0;0.036;0;0.286;0;0.071;0.25;0.143;0.071;0.071
"Leo Ostigard";0.053;0.026;0;0.289;0;0;0.026;0;0;0.026;0.079;0.368;0.026;0.053;0.026;0.026
"Mario Rui";0;0;0.5;0;0;0;0;0;0;0;0;0.5;0;0;0;0
"Mathias Olivera";0.02;0;0;0;0;0;0.3;0.06;0;0;0;0.2;0.24;0.16;0;0.02
"Matteo Politano";0;0;0;0.25;0;0;0.083;0.083;0;0.083;0;0.042;0.042;0.125;0.083;0.208
"Natan";0.121;0.034;0;0.069;0.017;0.017;0.086;0.138;0;0.293;0.017;0;0.052;0.121;0;0.034
"Piotr Zielinski";0;0.028;0;0.056;0;0;0.222;0.056;0;0.222;0;0.083;0;0.167;0.083;0.083
"Stanislav Lobotka";0;0.015;0.031;0.108;0;0;0.046;0.154;0;0.108;0.046;0.108;0.092;0;0.046;0.246
"Victor Osimhen";0;0;0;0;0;0;0;0.286;0;0.286;0.143;0;0.143;0;0;0.143
"Zambo Anguissa";0;0.025;0;0.2;0;0;0.075;0.075;0;0.05;0.075;0.05;0.2;0.25;0;0
