"";"Abdulkerim Bardakci";"Angelino";"Baris Yilmaz";"Cedric Bakambu";"Davinson Sanchez";"Dries Mertens";"Fernando Muslera";"Hakim Ziyech";"Kaan Ayhan";"Kerem Akturkoglu";"Lucas Torreira";"Mateus Tete";"Mauro Icardi";"Sacha Boey";"Sergio Oliveira";"Wilfried Zaha"
"Abdulkerim Bardakci";0;0.191;0;0.021;0.468;0;0.106;0;0.043;0;0.106;0;0;0.043;0.021;0
"Angelino";0.425;0;0;0;0.05;0;0.025;0;0.025;0.075;0.025;0.025;0.1;0.05;0;0.2
"Baris Yilmaz";0.375;0;0;0;0;0;0;0.25;0;0.25;0;0;0;0;0.125;0
"Cedric Bakambu";0.2;0;0;0;0;0.2;0;0.2;0;0.2;0;0;0;0;0.2;0
"Davinson Sanchez";0.194;0.03;0;0.015;0;0.06;0.104;0.119;0.075;0;0.134;0.06;0.015;0.194;0;0
"Dries Mertens";0;0;0.083;0.083;0.083;0;0;0.333;0;0;0.083;0;0;0.333;0;0
"Fernando Muslera";0.333;0.048;0;0.048;0.143;0.095;0;0;0;0.048;0;0;0;0.238;0.048;0
"Hakim Ziyech";0;0.045;0;0.091;0.136;0.182;0;0;0;0;0;0;0;0.455;0.091;0
"Kaan Ayhan";0.095;0.143;0;0;0.143;0;0;0;0;0.095;0.095;0.19;0.048;0.19;0;0
"Kerem Akturkoglu";0.062;0.125;0.062;0;0;0;0;0;0.188;0;0.125;0.125;0.125;0.125;0.062;0
"Lucas Torreira";0.2;0.125;0;0;0.2;0;0.025;0.025;0.075;0.05;0;0;0.025;0.175;0;0.1
"Mateus Tete";0.133;0;0;0;0;0;0;0;0.2;0.067;0.133;0;0.067;0.4;0;0
"Mauro Icardi";0;0.083;0;0;0;0.083;0;0;0;0.167;0.25;0;0;0.083;0;0.333
"Sacha Boey";0.071;0;0;0.014;0.271;0.057;0.029;0.186;0.086;0.029;0.071;0.157;0.014;0;0.014;0
"Sergio Oliveira";0;0;0.2;0;0.2;0;0;0.2;0;0.2;0;0;0;0.2;0;0
"Wilfried Zaha";0;0.4;0;0;0;0;0;0;0.2;0;0.1;0;0.2;0.1;0;0
