"";"Aleksa Terzic";"Alexander Schlager";"Amankwah Forson";"Amar Dedic";"Karim Konate";"Lucas Gourna-Douath";"Luka Sucic";"Mads Bidstrup";"Maurits Kjaergaard";"Nicolas Capaldo";"Oscar Gloukh";"Oumar Solet";"Petar Ratkov";"Roko Simic";"Samson Baidoo";"Strahinja Pavlovic"
"Aleksa Terzic";0;0;0.125;0;0.042;0.167;0.042;0;0.125;0;0.042;0;0.042;0.125;0;0.292
"Alexander Schlager";0.118;0;0;0.059;0;0.206;0;0;0;0;0;0.118;0;0;0.176;0.324
"Amankwah Forson";0.111;0;0;0;0;0.111;0.222;0;0;0.222;0.111;0;0;0.111;0.111;0
"Amar Dedic";0;0.036;0.036;0;0;0.357;0;0.071;0;0;0.036;0.143;0.036;0;0.214;0.071
"Karim Konate";0.143;0;0;0.143;0;0;0;0;0;0;0.143;0.286;0;0.143;0;0.143
"Lucas Gourna-Douath";0.111;0.133;0;0.089;0;0;0.044;0.044;0;0;0.089;0.111;0.022;0.022;0.111;0.222
"Luka Sucic";0.167;0;0.167;0;0;0.167;0;0;0;0;0;0;0;0;0;0.5
"Mads Bidstrup";0;0.25;0.125;0.125;0;0.125;0;0;0;0;0;0.25;0;0.125;0;0
"Maurits Kjaergaard";0.286;0;0;0.143;0.143;0;0;0;0;0;0;0;0;0;0;0.429
"Nicolas Capaldo";0.2;0;0;0.2;0;0;0;0;0;0;0.2;0;0;0.4;0;0
"Oscar Gloukh";0.071;0;0.214;0;0.143;0.143;0;0.071;0;0;0;0.214;0;0.071;0;0.071
"Oumar Solet";0;0.136;0;0.091;0.045;0.273;0;0.045;0.045;0;0.045;0;0;0;0;0.318
"Petar Ratkov";0.333;0;0;0;0;0.333;0;0.333;0;0;0;0;0;0;0;0
"Roko Simic";0;0;0.067;0.067;0.067;0.2;0.067;0.067;0.133;0.067;0.133;0;0.067;0;0;0.067
"Samson Baidoo";0.034;0.138;0;0.276;0;0.138;0;0.103;0;0.034;0;0;0.034;0.034;0;0.207
"Strahinja Pavlovic";0.16;0.16;0.08;0.04;0;0.2;0.02;0.02;0.06;0.02;0.04;0.06;0;0.04;0.1;0
