"";"Amadou Haidara";"Benjamin Henrichs";"Benjamin Sesko";"Castello Lukeba";"Christoph Baumgartner";"Dani Olmo";"David Raum";"Eljif Elmas";"Kevin Kampl";"Lois Openda";"Peter Gulacsi";"Willi Orban";"Xaver Schlager";"Xavi Simons";"Yussuf Poulsen"
"Amadou Haidara";0;0.115;0.058;0.154;0;0.231;0.058;0;0;0.038;0;0.115;0.115;0.115;0
"Benjamin Henrichs";0.25;0;0.023;0;0;0.182;0.023;0;0;0.091;0.045;0.182;0.068;0.136;0
"Benjamin Sesko";0.077;0.231;0;0;0;0;0.077;0;0;0.308;0;0;0.077;0.231;0
"Castello Lukeba";0.216;0.039;0;0;0;0;0.216;0;0.02;0;0.059;0.137;0.216;0.098;0
"Christoph Baumgartner";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Dani Olmo";0.069;0.483;0.172;0;0.034;0;0;0;0;0.034;0;0.034;0;0.138;0.034
"David Raum";0.069;0;0.034;0.379;0.034;0;0;0;0;0.103;0;0.034;0.138;0.207;0
"Eljif Elmas";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Kevin Kampl";0;0;0;0;0;0;0.5;0;0;0;0;0.5;0;0;0
"Lois Openda";0.3;0.1;0.1;0;0;0.2;0.1;0;0;0;0;0;0.2;0;0
"Peter Gulacsi";0.143;0.143;0;0.357;0;0;0.143;0;0;0;0;0.071;0;0.143;0
"Willi Orban";0.237;0.237;0;0.184;0;0.079;0;0.026;0;0.053;0.079;0;0.026;0.079;0
"Xaver Schlager";0.229;0.029;0.029;0.314;0;0.086;0.114;0;0;0.029;0;0.057;0;0.114;0
"Xavi Simons";0.167;0.1;0;0.1;0;0.133;0.2;0;0;0.167;0;0;0.1;0;0.033
"Yussuf Poulsen";0;0.333;0.333;0;0.333;0;0;0;0;0;0;0;0;0;0
