"";"Alex Balde";"Andreas Christensen";"Fermin Lopez";"Ferran Torres";"Ilkay Gundogan";"Inigo Martinez";"Joao Cancelo";"Joao Felix";"Lamine Yamal";"Marc-Andre ter Stegen";"Marc Casado";"Marcos Alonso";"Oriol Romeu";"Ronald Araujo"
"Alex Balde";0;0;0;0.5;0;0.25;0;0;0;0;0;0;0.25;0
"Andreas Christensen";0;0;0;0.5;0;0;0;0;0;0;0;0;0;0.5
"Fermin Lopez";0;0;0;0;0.036;0.107;0.321;0.214;0.143;0;0;0.071;0.036;0.071
"Ferran Torres";0.176;0;0.059;0;0.176;0.059;0;0.118;0.294;0;0.059;0;0.059;0
"Ilkay Gundogan";0.022;0;0.087;0.022;0;0.196;0.174;0.152;0.043;0.022;0;0.087;0.065;0.13
"Inigo Martinez";0.018;0;0.036;0.055;0.109;0;0.091;0.036;0;0.145;0;0.255;0.036;0.218
"Joao Cancelo";0;0;0.155;0.017;0.121;0.052;0;0;0.224;0.034;0.017;0;0.103;0.276
"Joao Felix";0;0;0.095;0.143;0.333;0.095;0;0;0;0;0;0.19;0.143;0
"Lamine Yamal";0;0;0.188;0.094;0.094;0;0.406;0;0;0;0.062;0;0.031;0.125
"Marc-Andre ter Stegen";0;0;0.056;0.056;0.111;0.389;0;0;0;0;0;0;0.056;0.333
"Marc Casado";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Marcos Alonso";0;0;0.062;0.031;0.219;0.219;0.031;0.312;0;0.031;0;0;0.031;0.062
"Oriol Romeu";0.03;0;0.03;0;0.121;0.091;0.212;0.121;0.091;0;0.03;0.061;0;0.212
"Ronald Araujo";0;0.016;0.065;0.048;0.097;0.323;0.242;0;0.065;0.065;0;0;0.081;0
