"";"Abel Ruiz";"Alvaro Djalo";"Andre Horta";"Cristian Borja ";"Joao Moutinho";"Joe Mendes";"Jose Fonte";"Matheus";"Ricardo Horta";"Rodrigo Zalazar";"Roger Fernandes";"Serdar Saatci";"Sikou Niakate";"Simon Banza";"Victor Gomez";"Vitor Carvalho"
"Abel Ruiz";0;0.25;0;0.5;0.25;0;0;0;0;0;0;0;0;0;0;0
"Alvaro Djalo";0.048;0;0;0;0.19;0;0.143;0;0.19;0.095;0;0;0;0.048;0.286;0
"Andre Horta";0;0;0;0;0.429;0;0.143;0;0.143;0;0.143;0.143;0;0;0;0
"Cristian Borja ";0.044;0;0.044;0;0.178;0;0;0.044;0.133;0.267;0;0.111;0.111;0.022;0;0.044
"Joao Moutinho";0;0.068;0.027;0.11;0;0;0.151;0.014;0.055;0.274;0;0.068;0.068;0.027;0.11;0.027
"Joe Mendes";0;0;0;0;0;0;0.333;0;0.333;0;0.333;0;0;0;0;0
"Jose Fonte";0;0.071;0.018;0;0.25;0.036;0;0.036;0.018;0.089;0;0.089;0.125;0;0.268;0
"Matheus";0;0;0;0;0;0;0.263;0;0;0;0;0.421;0.158;0;0.158;0
"Ricardo Horta";0;0.13;0.174;0.217;0.174;0;0.087;0;0;0.087;0;0;0;0.043;0.043;0.043
"Rodrigo Zalazar";0;0.085;0;0.106;0.277;0;0.191;0;0.064;0;0;0.064;0.021;0;0.149;0.043
"Roger Fernandes";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Serdar Saatci";0;0;0;0.074;0.074;0;0.259;0.407;0.037;0.148;0;0;0;0;0;0
"Sikou Niakate";0;0;0;0.28;0.04;0;0.28;0.08;0.04;0.12;0;0;0;0.04;0;0.12
"Simon Banza";0;0.429;0;0;0.429;0;0;0;0;0;0;0;0;0;0.143;0
"Victor Gomez";0.02;0.2;0;0;0.32;0;0.16;0.04;0.02;0.14;0;0;0.02;0.08;0;0
"Vitor Carvalho";0;0;0;0.273;0.091;0;0.091;0.091;0;0;0;0;0.182;0.091;0.182;0
