"";"Anatoliy Trubin";"Angel Di Maria";"Antonio Silva";"Casper Tengstedt";"Florentino Luis";"Fredrik Aursnes";"Joao Mario";"Joao Neves";"Morato";"Nicolas Otamendi";"Orkun Kokcu";"Petar Musa";"Rafa Silva";"Tomas Araujo "
"Anatoliy Trubin";0;0;0;0;0.167;0.333;0;0;0;0.167;0;0;0.167;0.167
"Angel Di Maria";0;0;0.029;0;0.206;0.118;0.176;0.206;0.059;0.029;0;0;0.176;0
"Antonio Silva";0.045;0.227;0;0;0.091;0.273;0.091;0.045;0;0.136;0;0;0.091;0
"Casper Tengstedt";0;0.167;0;0;0.333;0;0.167;0;0.167;0;0;0;0.167;0
"Florentino Luis";0.048;0.095;0.119;0;0;0.071;0.167;0.262;0.048;0.119;0;0;0.071;0
"Fredrik Aursnes";0;0.344;0.094;0;0.125;0;0.125;0.156;0;0;0;0.031;0.125;0
"Joao Mario";0;0.064;0;0.085;0.128;0.085;0;0.255;0.128;0.064;0;0.043;0.149;0
"Joao Neves";0.019;0.075;0.038;0.019;0.208;0.075;0.151;0;0.132;0.075;0.019;0.019;0.17;0
"Morato";0.047;0;0.023;0.047;0.07;0;0.186;0.279;0;0.233;0.023;0;0.093;0
"Nicolas Otamendi";0.071;0.071;0.143;0;0.143;0.071;0.036;0.143;0.286;0;0.036;0;0;0
"Orkun Kokcu";0;0;0;0;0;0;0.143;0.429;0.143;0;0;0.143;0.143;0
"Petar Musa";0;0.2;0;0;0;0;0.4;0;0;0;0.2;0;0.2;0
"Rafa Silva";0;0.273;0.03;0.091;0.212;0.03;0.182;0.091;0;0.03;0.03;0.03;0;0
"Tomas Araujo ";0;0;0;0;0;1;0;0;0;0;0;0;0;0
