"";"Alistair Johnston";"Callum McGregor";"Cameron Carter-Vickers";"Daizen Maeda";"Greg Taylor";"Hyeon-gyu Oh";"Hyun-jun Yang";"Joe Hart";"Kyogo Furuhashi";"Liam Scales";"Luis Palma";"Matt O'Riley";"Nathaniel Phillips";"Paulo Bernardo";"Reo Hatate"
"Alistair Johnston";0;0.155;0.069;0.19;0;0;0;0.069;0;0.052;0;0.155;0.276;0;0.034
"Callum McGregor";0.181;0;0.056;0;0.264;0;0.069;0;0.014;0.153;0.056;0.069;0.056;0.014;0.069
"Cameron Carter-Vickers";0.355;0.032;0;0.065;0;0;0;0.032;0;0.516;0;0;0;0;0
"Daizen Maeda";0.214;0.179;0.071;0;0.036;0;0;0;0.107;0;0.036;0.286;0;0;0.071
"Greg Taylor";0;0.182;0.013;0;0;0.013;0.156;0.026;0.052;0.234;0.104;0.065;0.013;0.039;0.104
"Hyeon-gyu Oh";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Hyun-jun Yang";0;0.2;0;0.067;0.333;0;0;0;0.067;0.067;0;0;0.067;0;0.2
"Joe Hart";0.028;0.028;0.083;0;0;0;0;0;0;0.611;0;0;0.25;0;0
"Kyogo Furuhashi";0.143;0;0;0.286;0.143;0;0;0;0;0;0;0.429;0;0;0
"Liam Scales";0.011;0.149;0.17;0;0.287;0;0.021;0.117;0;0;0.032;0.011;0.117;0.011;0.074
"Luis Palma";0;0.176;0;0;0.235;0.059;0;0;0;0.118;0;0;0;0.176;0.235
"Matt O'Riley";0.111;0.185;0;0.074;0.074;0;0.037;0.037;0.111;0.111;0.037;0;0.111;0;0.111
"Nathaniel Phillips";0.327;0.135;0;0.058;0;0;0;0.173;0.019;0.269;0;0.019;0;0;0
"Paulo Bernardo";0.143;0.286;0;0.143;0.143;0.143;0;0;0;0.143;0;0;0;0;0
"Reo Hatate";0.12;0.12;0;0.08;0.2;0;0.16;0;0;0.08;0.04;0.16;0.04;0;0
