"";"Donyell Malen";"Emre Can";"Gregor Kobel";"Jamie Bynoe-Gittens";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Marius Wolf";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Ramy Bensebaini";"Salih Ozcan"
"Donyell Malen";0;0.071;0;0;0;0.429;0;0;0.143;0;0.143;0;0.071;0.143;0
"Emre Can";0;0;0.111;0.028;0;0.167;0.056;0.139;0.083;0.028;0.056;0.028;0.167;0.083;0.056
"Gregor Kobel";0;0.034;0;0;0;0.241;0.034;0;0;0;0.414;0;0.276;0;0
"Jamie Bynoe-Gittens";0.25;0;0;0;0;0;0;0.25;0.125;0;0;0.125;0.125;0.125;0
"Julian Brandt";0;0;0;0;0;0.133;0.333;0.067;0;0.067;0.133;0.067;0;0.067;0.133
"Julian Ryerson";0.171;0.171;0.098;0.024;0.024;0;0.073;0.024;0.024;0;0.195;0.122;0;0;0.073
"Karim Adeyemi";0;0;0;0;0.375;0.312;0;0;0.062;0;0;0.125;0;0.062;0.062
"Marcel Sabitzer";0;0.088;0.029;0.088;0.029;0.118;0.029;0;0.088;0;0.206;0.029;0.088;0.206;0
"Marco Reus";0.115;0.038;0;0.077;0;0.115;0.038;0.077;0;0;0.154;0.115;0.038;0.231;0
"Marius Wolf";0;0;0;0;0;0.333;0;0;0;0;0;0;0;0.333;0.333
"Mats Hummels";0;0.156;0.089;0;0.044;0.2;0.022;0.022;0.067;0;0;0.089;0.2;0.089;0.022
"Niclas Fullkrug";0.118;0.118;0;0.059;0;0.059;0.059;0.353;0.118;0;0.059;0;0;0;0.059
"Nico Schlotterbeck";0.026;0.154;0.282;0.077;0;0.026;0;0.103;0.051;0;0.051;0.026;0;0.205;0
"Ramy Bensebaini";0.071;0.048;0.024;0.119;0.048;0;0.071;0.095;0.119;0.071;0.024;0.119;0.19;0;0
"Salih Ozcan";0;0.133;0;0;0.067;0.067;0;0.133;0;0.067;0.2;0.067;0;0.267;0
