"";"Alejandro Garnacho";"Andre Onana";"Antony";"Bruno Fernandes";"Casemiro";"Christian Eriksen";"Diogo Dalot";"Hannibal Mejbri";"Marcus Rashford";"Mason Mount";"Raphael Varane";"Rasmus Hojlund";"Sofyan Amrabat";"Victor Lindelof"
"Alejandro Garnacho";0;0.1;0;0.1;0.1;0.4;0;0;0;0;0.1;0.1;0.1;0
"Andre Onana";0.083;0;0;0;0;0;0.083;0;0;0.083;0.25;0;0.083;0.417
"Antony";0;0;0;0.25;0;0.25;0.25;0;0;0;0;0.25;0;0
"Bruno Fernandes";0.038;0;0.077;0;0.115;0.038;0.077;0.077;0.038;0.269;0.038;0.154;0.038;0.038
"Casemiro";0;0.054;0;0.162;0;0.108;0.054;0.081;0.081;0.135;0.189;0.027;0.027;0.081
"Christian Eriksen";0.091;0.091;0;0.091;0.136;0;0.045;0;0;0;0.136;0.091;0.136;0.182
"Diogo Dalot";0;0.067;0.067;0.167;0.233;0.1;0;0.067;0;0.067;0.233;0;0;0
"Hannibal Mejbri";0;0;0;0.312;0.188;0;0.188;0;0.188;0;0;0;0.062;0.062
"Marcus Rashford";0;0;0;0.154;0.077;0.154;0;0.077;0;0.154;0;0;0.231;0.154
"Mason Mount";0;0;0;0.2;0.2;0;0.08;0.12;0.16;0;0.04;0.08;0.12;0
"Raphael Varane";0;0.258;0.032;0.032;0.097;0.129;0.226;0.032;0;0.065;0;0;0;0.129
"Rasmus Hojlund";0;0;0;0.286;0;0.143;0;0.143;0.143;0.286;0;0;0;0
"Sofyan Amrabat";0.034;0.241;0;0.034;0.103;0.069;0.034;0.034;0.103;0.103;0.172;0;0;0.069
"Victor Lindelof";0.088;0.206;0;0.059;0.118;0.118;0.029;0.088;0.059;0;0;0.029;0.206;0
