"";"Alphonso Davies";"Bouna Sarr";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Kingsley Coman";"Konrad Laimer";"Leroy Sane";"Mathys Tel";"Matthijs De Ligt";"Noussair Mazraoui";"Sven Ulreich"
"Alphonso Davies";0;0;0.032;0.129;0.129;0.29;0;0.194;0.194;0;0;0.032;0
"Bouna Sarr";0;0;0;0.167;0;0.167;0;0;0;0.167;0.5;0;0
"Harry Kane";0;0;0;0.188;0.25;0;0.188;0.062;0.188;0;0.062;0.062;0
"Jamal Musiala";0.031;0;0.125;0;0.125;0;0.156;0.031;0.281;0.094;0.062;0.031;0.062
"Joshua Kimmich";0.082;0.041;0;0.082;0;0.184;0.082;0.143;0.061;0.02;0.143;0.122;0.041
"Kim Min-jae";0.257;0;0.029;0.057;0.229;0;0;0.057;0;0;0.143;0;0.229
"Kingsley Coman";0;0;0.16;0.16;0.12;0;0;0.04;0.08;0;0;0.44;0
"Konrad Laimer";0.182;0;0.136;0.045;0.182;0.182;0.136;0;0;0;0.091;0;0.045
"Leroy Sane";0.19;0;0.095;0.286;0.143;0;0.095;0.143;0;0.048;0;0;0
"Mathys Tel";0;0.333;0;0.333;0.167;0;0;0.167;0;0;0;0;0
"Matthijs De Ligt";0;0.042;0.042;0.167;0.083;0.083;0.083;0.042;0;0;0;0.167;0.292
"Noussair Mazraoui";0;0;0;0.125;0.375;0;0.292;0;0;0;0.208;0;0
"Sven Ulreich";0.111;0;0.056;0;0.222;0.333;0;0.056;0.056;0;0.111;0.056;0
