"";"Alan Varela";"Andre Franco";"David Carmo";"Diogo Costa";"Evanilson";"Francisco Conceicao";"Galeno";"Joao Mario";"Jorge Sanchez";"Marko Grujic";"Mehdi Taremi";"Nico Gonzalez";"Pepe_14926";"Pepe_66499";"Stephen Eustaquio";"Wendell"
"Alan Varela";0;0;0.286;0;0;0;0.143;0.095;0.048;0;0;0;0.19;0.143;0.095;0
"Andre Franco";0.056;0;0.111;0.167;0.056;0;0.222;0.222;0;0;0.056;0;0.056;0.056;0;0
"David Carmo";0.033;0.133;0;0.167;0;0;0.067;0.1;0;0.033;0;0.033;0.267;0;0.033;0.133
"Diogo Costa";0.05;0;0.2;0;0;0;0.05;0.1;0.05;0;0;0;0.4;0.05;0.1;0
"Evanilson";0;0.067;0.067;0;0;0.067;0.133;0.133;0.067;0;0.133;0;0;0.267;0.067;0
"Francisco Conceicao";0;0;0;0;0;0;0;0.5;0;0;0;0.25;0.25;0;0;0
"Galeno";0;0.045;0.045;0;0.091;0.045;0;0.045;0;0;0.364;0.045;0;0.091;0.091;0.136
"Joao Mario";0;0.16;0;0.12;0.08;0.04;0.04;0;0;0.04;0.08;0;0.24;0.16;0.04;0
"Jorge Sanchez";0.3;0;0;0.1;0.2;0;0;0;0;0.1;0;0;0.1;0.1;0.1;0
"Marko Grujic";0;0;0.667;0;0;0;0;0;0;0;0.167;0;0.167;0;0;0
"Mehdi Taremi";0.2;0;0;0;0.2;0;0.2;0;0;0;0;0.1;0.1;0.1;0.1;0
"Nico Gonzalez";0;0;0;0.125;0.25;0.25;0.125;0;0;0.25;0;0;0;0;0;0
"Pepe_14926";0.15;0.05;0.125;0.25;0;0;0;0.15;0.05;0.025;0.025;0.025;0;0.125;0.025;0
"Pepe_66499";0.056;0.056;0.056;0;0.167;0;0.111;0.056;0.056;0;0.056;0;0.167;0;0.222;0
"Stephen Eustaquio";0.043;0.043;0.13;0.043;0.043;0;0.13;0;0.043;0;0.043;0;0.13;0.217;0;0.13
"Wendell";0.188;0.062;0.312;0.062;0;0;0;0.062;0;0;0;0;0;0;0.312;0
