"";"Anatoliy Trubin";"Angel Di Maria";"Antonio Silva";"Arthur Cabral";"David Jurasek";"Florentino Luis";"Fredrik Aursnes";"Joao Mario";"Joao Neves";"Morato";"Nicolas Otamendi";"Petar Musa";"Rafa Silva"
"Anatoliy Trubin";0;0;0.353;0;0;0;0;0.059;0.176;0.059;0.353;0;0
"Angel Di Maria";0;0;0.133;0.133;0.067;0;0.067;0.067;0.133;0;0.133;0.067;0.2
"Antonio Silva";0.212;0.121;0;0;0;0;0.152;0.091;0.212;0.03;0.182;0;0
"Arthur Cabral";0;0;0;0;0;0;0.167;0.5;0;0;0.167;0;0.167
"David Jurasek";0;0;0.062;0.25;0;0;0;0.125;0.125;0.125;0.062;0;0.25
"Florentino Luis";0;0;0.333;0;0;0;0;0;0;0.333;0;0;0.333
"Fredrik Aursnes";0;0.217;0.304;0;0;0.043;0;0.087;0.087;0.13;0.087;0;0.043
"Joao Mario";0;0.2;0.033;0.033;0.133;0.067;0;0;0.067;0.1;0.167;0;0.2
"Joao Neves";0.08;0.12;0.28;0.04;0;0;0.12;0.16;0;0.04;0.12;0;0.04
"Morato";0.13;0.043;0;0;0.13;0;0.174;0.13;0.087;0;0.174;0;0.13
"Nicolas Otamendi";0.086;0.057;0.171;0.029;0.114;0;0.086;0.029;0.029;0.286;0;0.029;0.086
"Petar Musa";0;0;0;0;0.667;0;0;0.333;0;0;0;0;0
"Rafa Silva";0.059;0.118;0;0.059;0.235;0.059;0.059;0.235;0.118;0.059;0;0;0
