"";"Aleksandar Dragovic";"Cherif Ndiaye";"In-beom Hwang";"Jovan Mijatovic";"Kosta Nedeljkovic";"Marko Stamenic";"Milan Rodic";"Mirko Ivanic";"Nasser Djiga";"Omri Glazer";"Osman Bukari";"Peter Olayinka";"Srdjan Mijailovic";"Stefan Mitrovic";"Vladimir Lucic"
"Aleksandar Dragovic";0;0.034;0.069;0.034;0.069;0.069;0.103;0.069;0.103;0.034;0.103;0;0.034;0.172;0.103
"Cherif Ndiaye";0;0;0.125;0;0;0.062;0;0.188;0;0;0.062;0.25;0.125;0.188;0
"In-beom Hwang";0.125;0.125;0;0;0.031;0.062;0.125;0.125;0;0;0.062;0;0.094;0.188;0.062
"Jovan Mijatovic";0;0;0.5;0;0;0;0;0;0;0;0.25;0;0;0;0.25
"Kosta Nedeljkovic";0;0;0;0;0;0.167;0;0;0;0;0.333;0;0.167;0.167;0.167
"Marko Stamenic";0.182;0;0.364;0;0;0;0;0.091;0.091;0;0;0;0.182;0.091;0
"Milan Rodic";0.214;0.071;0.143;0;0;0.071;0;0.357;0.071;0.071;0;0;0;0;0
"Mirko Ivanic";0;0.167;0.333;0.056;0;0;0.111;0;0;0;0.056;0.111;0;0.167;0
"Nasser Djiga";0.455;0;0;0;0;0.045;0.045;0;0;0.136;0;0;0.227;0;0.091
"Omri Glazer";0.143;0;0.143;0;0;0;0;0;0.571;0;0;0;0.143;0;0
"Osman Bukari";0;0.125;0.125;0;0.125;0.125;0;0.125;0;0;0;0;0.125;0;0.25
"Peter Olayinka";0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0
"Srdjan Mijailovic";0;0.238;0;0.048;0;0.19;0;0;0.429;0;0.048;0.048;0;0;0
"Stefan Mitrovic";0;0.067;0.4;0;0;0.067;0.133;0.267;0;0;0.067;0;0;0;0
"Vladimir Lucic";0.1;0;0.2;0.1;0;0.1;0;0.3;0.1;0;0.1;0;0;0;0
