"";"Abdukodir Khusanov";"Adrien Thomasson";"Angelo Fulgini";"Brice Samba";"David Costa";"Deiver Machado";"Elye Wahi";"Facundo Medina";"Florian Sotoca";"Jonathan Gradit";"Kevin Danso";"Massadio Haidara";"Nampalys Mendy";"Neil El Aynaoui";"Przemyslaw Frankowski";"Salis Samed"
"Abdukodir Khusanov";0;0;0.071;0.286;0;0;0.071;0;0;0;0.143;0.071;0.071;0.143;0.143;0
"Adrien Thomasson";0;0;0.143;0;0.143;0.143;0;0;0;0.143;0.143;0.286;0;0;0;0
"Angelo Fulgini";0.036;0.036;0;0;0.071;0.071;0.036;0.071;0.143;0.036;0;0.179;0.107;0.036;0.143;0.036
"Brice Samba";0.1;0;0.1;0;0;0.05;0;0.05;0;0.2;0.25;0.15;0;0;0.1;0
"David Costa";0.25;0;0;0.125;0;0.25;0;0;0;0;0.125;0.125;0;0;0.125;0
"Deiver Machado";0;0.077;0.154;0.077;0;0;0.077;0;0;0;0.154;0.308;0;0.077;0.077;0
"Elye Wahi";0.071;0;0.214;0;0.071;0;0;0;0.143;0.071;0;0;0.143;0;0.071;0.214
"Facundo Medina";0;0;0.071;0.071;0;0;0.036;0;0.071;0;0.214;0.107;0.286;0;0;0.143
"Florian Sotoca";0;0;0.059;0;0;0;0.118;0;0;0.235;0;0.059;0;0.059;0.471;0
"Jonathan Gradit";0;0;0.073;0.146;0;0;0.024;0.024;0.073;0;0.341;0;0.073;0.024;0.195;0.024
"Kevin Danso";0.019;0;0.038;0.058;0.038;0.019;0.058;0.154;0.038;0.173;0;0.192;0.096;0.019;0.058;0.038
"Massadio Haidara";0.023;0.047;0.116;0.047;0.047;0.093;0.047;0.209;0;0;0.209;0;0.023;0.047;0.023;0.07
"Nampalys Mendy";0.03;0;0.061;0.03;0;0;0.061;0.091;0.03;0.303;0.152;0.061;0;0;0.152;0.03
"Neil El Aynaoui";0.111;0.111;0;0;0;0.222;0.222;0;0;0;0.111;0.111;0;0;0.111;0
"Przemyslaw Frankowski";0.043;0.043;0.043;0;0.022;0;0.087;0;0.13;0.304;0.087;0.022;0.174;0.043;0;0
"Salis Samed";0;0;0.2;0.133;0;0;0;0.2;0.067;0;0.067;0.067;0.267;0;0;0
