"";"Alex Remiro";"Ander Barrene";"Andre Silva";"Arsen Zakharyan";"Benat Turrientes";"Brais Mendez";"Hamari Traore";"Igor Zubeldia";"Javi Galan";"Jon Aramburu";"Jon Pacheco";"Martin Zubimendi";"Mikel Merino";"Robin Le Normand";"Takefusa Kubo";"Umar Sadiq"
"Alex Remiro";0;0.125;0;0;0;0;0.125;0.125;0;0.125;0;0.25;0.125;0.125;0;0
"Ander Barrene";0;0;0.211;0;0;0.053;0.105;0;0.105;0;0;0.105;0.105;0.158;0.158;0
"Andre Silva";0;0;0;0;0;0.188;0;0.062;0.062;0;0;0.125;0.188;0.125;0.25;0
"Arsen Zakharyan";0;0;0.111;0;0;0.222;0;0;0.111;0.111;0;0;0.222;0.111;0.111;0
"Benat Turrientes";0;0;0;0.4;0;0;0;0;0;0;0;0.2;0;0;0.2;0.2
"Brais Mendez";0;0.136;0.091;0.045;0;0;0.182;0;0.045;0;0;0.136;0.136;0.045;0.182;0
"Hamari Traore";0.095;0;0.143;0;0.048;0.19;0;0.048;0;0;0;0.048;0;0;0.429;0
"Igor Zubeldia";0.25;0;0.188;0;0;0.125;0.125;0;0;0;0;0.125;0;0;0.188;0
"Javi Galan";0;0.32;0.08;0.04;0;0.04;0;0;0;0;0;0.08;0.2;0.24;0;0
"Jon Aramburu";0;0;0;0;0;0;0;0;0;0;0.667;0;0;0;0;0.333
"Jon Pacheco";0.5;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0
"Martin Zubimendi";0.086;0.057;0.086;0;0;0.086;0.086;0.2;0.029;0;0;0;0.086;0.171;0.114;0
"Mikel Merino";0.038;0.192;0.115;0.038;0;0.038;0;0;0.154;0;0;0.154;0;0.154;0.038;0.077
"Robin Le Normand";0.389;0.056;0;0;0;0;0;0.056;0.222;0;0;0.139;0.139;0;0;0
"Takefusa Kubo";0;0.053;0.158;0;0.053;0.211;0.158;0;0;0;0.053;0.158;0.105;0;0;0.053
"Umar Sadiq";0;0;0;0;0.667;0;0;0;0;0;0;0.333;0;0;0;0
