"";"Donyell Malen";"Emre Can";"Gregor Kobel";"Ian Maatsen";"Jadon Sancho";"Jamie Bynoe-Gittens";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Sebastien Haller"
"Donyell Malen";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Emre Can";0;0;0.022;0.067;0.022;0;0.111;0.178;0;0.111;0;0.289;0.022;0.178;0
"Gregor Kobel";0;0;0;0.053;0;0;0;0.053;0;0;0;0.421;0;0.474;0
"Ian Maatsen";0.043;0.13;0.043;0;0.087;0;0.174;0.087;0.043;0.043;0;0;0.043;0.304;0
"Jadon Sancho";0;0.13;0;0.043;0;0;0.13;0.304;0;0.217;0;0.087;0;0.087;0
"Jamie Bynoe-Gittens";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Julian Brandt";0;0.222;0;0.222;0;0;0;0;0.111;0.074;0;0.037;0.111;0.222;0
"Julian Ryerson";0;0.171;0;0;0.293;0.073;0;0;0;0.073;0;0.268;0.073;0.049;0
"Karim Adeyemi";0;0.167;0;0;0.167;0;0.667;0;0;0;0;0;0;0;0
"Marcel Sabitzer";0;0.148;0;0.037;0.259;0.037;0.037;0.074;0;0;0;0.074;0;0.296;0.037
"Marco Reus";0.6;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0
"Mats Hummels";0;0.14;0.18;0.02;0.04;0;0.06;0.14;0;0.08;0;0;0.02;0.32;0
"Niclas Fullkrug";0.1;0.1;0;0.1;0.2;0;0.2;0.1;0.1;0;0;0;0;0;0.1
"Nico Schlotterbeck";0;0.228;0.211;0.088;0.018;0;0.158;0.053;0.035;0.088;0.018;0.053;0.035;0;0.018
"Sebastien Haller";0;0;0;0;0;0;0;0.333;0;0;0.667;0;0;0;0
