"";"Andreas Christensen";"Fermin Lopez";"Ilkay Gundogan";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Oriol Romeu";"Pau Cubarsi";"Raphinha";"Robert Lewandowski";"Ronald Araujo";"Sergi Roberto"
"Andreas Christensen";0;0.231;0.308;0;0;0;0;0.077;0;0.154;0;0.077;0.154;0
"Fermin Lopez";0.143;0;0.214;0.143;0;0.143;0.071;0.143;0;0;0;0.143;0;0
"Ilkay Gundogan";0.062;0.062;0;0.042;0;0.188;0.208;0.021;0;0.125;0.042;0.104;0.083;0.062
"Joao Cancelo";0;0;0.237;0;0.026;0;0;0.026;0.026;0.316;0.184;0.026;0.026;0.132
"Joao Felix";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Jules Kounde";0.061;0.121;0.121;0;0;0;0.152;0.061;0.061;0;0;0.061;0.303;0.061
"Lamine Yamal";0.045;0.045;0.273;0;0;0.227;0;0.045;0.136;0;0.045;0.091;0;0.091
"Marc-Andre ter Stegen";0.036;0.036;0.036;0.071;0;0.143;0.036;0;0;0.429;0.036;0;0.179;0
"Oriol Romeu";0;0;0.167;0;0.083;0;0.083;0;0;0.5;0.083;0;0;0.083
"Pau Cubarsi";0.019;0;0.151;0.358;0;0.057;0;0.189;0;0;0;0.019;0.151;0.057
"Raphinha";0;0.053;0.158;0.316;0;0;0.105;0;0.053;0.158;0;0.053;0;0.105
"Robert Lewandowski";0;0.1;0.3;0.2;0;0;0;0;0;0;0.4;0;0;0
"Ronald Araujo";0;0.062;0.125;0;0.031;0.281;0.062;0.188;0.031;0.219;0;0;0;0
"Sergi Roberto";0;0;0.238;0.048;0;0;0.19;0.048;0.19;0.095;0.095;0.048;0.048;0
