"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Jan Oblak";"Jose Gimenez";"Marcos Llorente";"Mario Hermoso";"Nahuel Molina";"Pablo Barrios ";"Rodrigo Riquelme";"Samuel Lino";"Saul Niguez";"Stefan Savic"
"Alvaro Morata";0;0;0.111;0;0;0;0.167;0.056;0.056;0.056;0;0.167;0.278;0.111
"Angel Correa";0;0;0.167;0;0;0;0.5;0;0.167;0;0;0;0;0.167
"Antoine Griezmann";0.102;0.02;0;0;0;0.061;0.163;0.082;0.122;0.02;0.082;0.102;0.224;0.02
"Axel Witsel";0.05;0;0.025;0;0.025;0;0.075;0.325;0.025;0.025;0;0.025;0.1;0.325
"Jan Oblak";0;0;0;0.071;0;0.143;0.071;0.071;0.143;0.071;0;0;0.071;0.357
"Jose Gimenez";0;0;0;0;0.077;0;0;0.308;0.154;0;0;0.077;0;0.385
"Marcos Llorente";0;0.054;0.081;0.054;0;0;0;0;0.432;0;0;0.027;0.162;0.189
"Mario Hermoso";0.039;0;0.091;0.208;0.052;0.052;0.013;0;0;0.117;0.013;0.221;0.091;0.104
"Nahuel Molina";0.035;0.035;0.123;0.07;0.053;0.035;0.175;0.018;0;0.088;0;0.018;0.14;0.211
"Pablo Barrios ";0.037;0;0.185;0.074;0;0;0.037;0.37;0.037;0;0;0.111;0.074;0.074
"Rodrigo Riquelme";0;0;0.429;0;0.143;0;0;0.429;0;0;0;0;0;0
"Samuel Lino";0.05;0.025;0.125;0.05;0;0.025;0;0.55;0;0.025;0;0;0.15;0
"Saul Niguez";0.1;0.04;0.2;0.06;0;0.02;0.12;0.18;0.06;0.08;0;0.12;0;0.02
"Stefan Savic";0.051;0.017;0.068;0.119;0.034;0.034;0.068;0.085;0.441;0.085;0;0;0;0
