"";"Adria Pedrosa";"Boubakary Soumare";"Djibril Sow";"Dodi Lukebakio";"Erik Lamela";"Fernando";"Ivan Rakitic";"Jesus Navas";"Juanlu Sanchez ";"Lucas Ocampos";"Mariano Diaz";"Marko Dmitrovic";"Nemanja Gudelj";"Sergio Ramos";"Suso";"Youssef En-Nesyri"
"Adria Pedrosa";0;0.073;0.146;0.098;0;0.122;0.024;0;0;0.146;0;0;0.073;0.293;0;0.024
"Boubakary Soumare";0.125;0;0;0.125;0;0.25;0;0;0;0;0.125;0;0.125;0.25;0;0
"Djibril Sow";0.125;0;0;0;0.083;0.042;0.208;0;0.208;0.042;0;0;0.125;0.125;0;0.042
"Dodi Lukebakio";0.125;0.125;0;0;0;0;0.125;0.25;0;0.125;0;0;0;0.125;0.125;0
"Erik Lamela";0.143;0;0;0;0;0.286;0.143;0;0.071;0.071;0;0;0;0.071;0;0.214
"Fernando";0.182;0.023;0.045;0;0.068;0;0.023;0.023;0.068;0.114;0;0.045;0.114;0.273;0;0.023
"Ivan Rakitic";0.048;0;0.048;0;0.19;0.238;0;0;0;0.143;0;0;0.143;0.143;0;0.048
"Jesus Navas";0;0;0;0;0;0.111;0;0;0;0;0;0;0.222;0.222;0.444;0
"Juanlu Sanchez ";0.026;0;0.026;0.026;0.179;0.154;0.026;0;0;0.154;0;0.077;0.231;0.026;0.026;0.051
"Lucas Ocampos";0.138;0.069;0.207;0.034;0.103;0;0.069;0.034;0.069;0;0.034;0;0.034;0.103;0.103;0
"Mariano Diaz";0;0;0;0.333;0;0;0;0;0;0.333;0;0;0;0;0.333;0
"Marko Dmitrovic";0.167;0;0.083;0;0;0.167;0;0;0;0;0;0;0.25;0.333;0;0
"Nemanja Gudelj";0.041;0;0.02;0.02;0;0.163;0.082;0.041;0.286;0;0;0.082;0;0.265;0;0
"Sergio Ramos";0.231;0;0.096;0.019;0.019;0.077;0.019;0;0.038;0.038;0;0.135;0.327;0;0;0
"Suso";0;0.125;0;0;0;0.125;0;0.25;0;0.375;0;0;0;0.125;0;0
"Youssef En-Nesyri";0.143;0;0;0;0;0.429;0.429;0;0;0;0;0;0;0;0;0
