"";"Andreas Christensen";"Frenkie de Jong";"Ilkay Gundogan";"Inigo Martinez";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Oriol Romeu";"Pedri";"Raphinha";"Robert Lewandowski";"Ronald Araujo"
"Andreas Christensen";0;0.19;0.095;0.19;0.048;0;0.095;0.143;0.048;0;0.048;0;0;0.143
"Frenkie de Jong";0.1;0;0.1;0.114;0.171;0.029;0.057;0.057;0;0.057;0.086;0.014;0.014;0.2
"Ilkay Gundogan";0.111;0.278;0;0;0;0.028;0.083;0.222;0;0;0.111;0.028;0.111;0.028
"Inigo Martinez";0.043;0.191;0;0;0.277;0;0.043;0;0.149;0;0.106;0;0.043;0.149
"Joao Cancelo";0.028;0.333;0.056;0.167;0;0;0;0;0.139;0.028;0.167;0;0.056;0.028
"Joao Felix";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Jules Kounde";0.111;0.167;0.056;0.056;0;0;0;0.167;0.111;0;0;0.056;0.056;0.222
"Lamine Yamal";0.105;0.053;0.474;0;0;0;0.211;0;0;0;0.105;0;0.053;0
"Marc-Andre ter Stegen";0.038;0.154;0.077;0.192;0.115;0;0.038;0;0;0;0.038;0;0.038;0.308
"Oriol Romeu";0;0.167;0;0.333;0;0;0;0;0;0;0;0.167;0;0.333
"Pedri";0.12;0.12;0.12;0.2;0.16;0;0;0.12;0;0;0;0;0.16;0
"Raphinha";0;0.333;0;0.333;0;0;0.333;0;0;0;0;0;0;0
"Robert Lewandowski";0;0.222;0.222;0;0.111;0;0;0;0;0;0.444;0;0;0
"Ronald Araujo";0.024;0.071;0.095;0.167;0.024;0;0.238;0;0.238;0.024;0.048;0;0.071;0
