"";"Aleksandar Dragovic";"Aleksandar Katai";"Cherif Ndiaye";"Guelor Kanga";"In-beom Hwang";"Jovan Mijatovic";"Kosta Nedeljkovic";"Milan Rodic";"Nasser Djiga";"Omri Glazer";"Osman Bukari";"Peter Olayinka";"Srdjan Mijailovic";"Uros Spajic";"Vladimir Lucic"
"Aleksandar Dragovic";0;0;0.069;0.103;0.172;0;0;0.034;0.241;0.069;0.034;0.069;0.138;0.034;0.034
"Aleksandar Katai";0;0;0;0;0;0;0.25;0;0.25;0;0.25;0;0.25;0;0
"Cherif Ndiaye";0.222;0;0;0;0.222;0;0.111;0;0.111;0;0.111;0.111;0.111;0;0
"Guelor Kanga";0.077;0;0.154;0;0.077;0;0.077;0;0;0;0.154;0;0.231;0.231;0
"In-beom Hwang";0.161;0.032;0;0.097;0;0.161;0;0;0.032;0.065;0.065;0.129;0.129;0;0.129
"Jovan Mijatovic";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Kosta Nedeljkovic";0;0;0.188;0.375;0.062;0;0;0;0.188;0.062;0.062;0;0;0.062;0
"Milan Rodic";0;0;0;0;0.143;0;0;0;0;0.286;0;0;0.286;0;0.286
"Nasser Djiga";0.095;0.048;0;0.048;0.143;0;0.048;0;0;0.238;0.048;0;0.143;0.143;0.048
"Omri Glazer";0.364;0;0;0;0.091;0;0.091;0;0.182;0;0;0;0.091;0.091;0.091
"Osman Bukari";0;0;0.125;0.25;0.375;0.125;0.125;0;0;0;0;0;0;0;0
"Peter Olayinka";0.444;0;0;0;0.111;0;0.111;0;0;0;0;0;0.222;0.111;0
"Srdjan Mijailovic";0.12;0;0;0.12;0.24;0;0.08;0;0.12;0.12;0;0;0;0.16;0.04
"Uros Spajic";0.412;0;0;0.059;0.059;0;0.118;0;0;0.118;0;0.059;0.118;0;0.059
"Vladimir Lucic";0;0.2;0;0;0;0;0;0.1;0;0;0.4;0;0.3;0;0
